case_id,case_type,schema,turns,tokens,fields_count,doctor_specialists,doctor_service,doctor_examination,specialist_score,service_score,examination_score,data_sufficiency,accuracy,dialogue_quality,routing_match
1,acute_pulpitis,S1,5,15333,4,стоматолог-терапевт; эндодонтист,"лечение пульпита, возможно эндодонтическое вмешательство","рентген, ЭОД",5,6,4,7,4,7,False
1,acute_pulpitis,S2,4,10968,7,стоматолог-терапевт; эндодонтист,"лечение пульпита, возможное эндодонтическое вмешательство","рентген, ЭОД",8,8,7,7,8,7,True
1,acute_pulpitis,S3,6,19239,8,стоматолог-терапевт; эндодонтист,"лечение пульпита, возможное эндодонтическое вмешательство","рентген, ЭОД",8,8,7,8,7,8,True
2,implantation,S1,3,8282,4,стоматолог-терапевт; ортопед,коррекция или замена временного протеза,"ОПТГ, рентгенография области передних верхних зубов",3,2,4,7,9,7,False
2,implantation,S2,4,11494,9,хирург-имплантолог; ортопед; пародонтолог,установка имплантов и протезирование верхних передних зубов,"КЛКТ, ОПТГ, анализ крови (коагулограмма), ЭОД",10,10,7,8,8,8,True
2,implantation,S3,5,16922,13,хирург-имплантолог; ортопед; пародонтолог,установка постоянных имплантов и протезирование на имплантатах,"КЛКТ, ОПТГ, анализ крови (коагулограмма, МНО)",8,9,8,8,8,9,True
3,wisdom_tooth,S1,4,11380,4,хирург-стоматолог,удаление ретинированного или частично прорезавшегося зуба мудрости,"панорамный снимок (ОПТГ), при необходимости — КЛКТ",10,8,8,7,8,8,True
3,wisdom_tooth,S2,5,19078,5,хирург-стоматолог; пародонтолог,удаление зуба мудрости при наличии перикоронитa,"панорамный снимок (ОПТГ), прицельный рентген, клинический осмотр",10,8,7,7,7,8,True
3,wisdom_tooth,S3,6,27186,9,стоматолог-терапевт; хирург-стоматолог,"диагностика и лечение перикоронитов, возможное удаление зуба мудрости","ОПТГ, рентген зуба мудрости",9,8,6,7,8,8,True
4,esthetics_composite,S1,4,12737,4,стоматолог-терапевт; эндодонтист,"восстановление коронковой части зуба, возможное эндодонтическое лечение","рентген, ЭОД",8,8,7,7,8,7,True
4,esthetics_composite,S2,5,17546,7,стоматолог-терапевт; ортопед,восстановление коронки зуба с эстетической целью,"рентген зуба, ОПТГ",10,7,7,7,8,7,True
4,esthetics_composite,S3,6,24426,7,стоматолог-терапевт; ортопед,восстановление коронковой части зуба с эстетической целью,"рентген (прицельный снимок), ОПТГ",10,8,6,7,6,7,True
5,child_trauma,S1,4,13459,4,стоматолог-терапевт; эндодонтист; хирург-стоматолог,лечение травмы зуба с возможным пульпитом или переломом корня,"рентген, КЛКТ, ЭОД",8,7,8,8,10,8,True
5,child_trauma,S2,4,11791,8,стоматолог-терапевт; эндодонтист; хирург-стоматолог,лечение травмы зуба с возможным эндодонтическим вмешательством или удалением,"рентген, ЭОД",8,8,6,8,9,8,True
5,child_trauma,S3,7,33662,11,детский стоматолог-хирург; стоматолог-терапевт,"стабилизация травмированного зуба, оценка состояния зачатка постоянного зуба","рентген (прицельный снимок), ОПТГ",8,8,8,8,9,8,True
6,post_treatment_pain,S1,5,16838,4,стоматолог-терапевт; хирург-стоматолог; эндодонтист,"лечение острого периодонтита, возможное удаление зуба или эндодонтическое вмешательство","рентген, КЛКТ, ЭОД",5,4,8,6,7,7,False
6,post_treatment_pain,S2,7,27034,6,стоматолог-терапевт; эндодонтист,повторное эндодонтическое лечение или удаление пульпы,"рентген, ЭОД",8,8,7,7,8,8,True
6,post_treatment_pain,S3,9,38984,13,стоматолог-терапевт; эндодонтист; хирург-стоматолог,"лечение острого периодонтита, возможное эндодонтическое вмешательство или удаление зуба","рентген, КЛКТ, ЭОД",7,7,8,7,8,8,True
7,periodontitis,S1,4,11235,4,пародонтолог; стоматолог-терапевт; гнатолог,комплексное лечение пародонтита с оценкой окклюзии и сопутствующей терапией,"ОПТГ, панорамный снимок, зондирование пародонтальных карманов, анализ состояния прикуса, гемоглобин A1c (для оценки компенсации диабета)",10,9,7,8,9,9,True
