id,text,route_domain,subtype,explicit_booking,urgency,is_offtopic,specialization_hint,feedback_flag,faq_category,style,source,seed_id
seed_078,Хочу элайнеры,anamnesis,treatment_interest,False,normal,False,,False,,,seed,seed_078
seed_100,Нужно поставить вкладку,anamnesis,treatment_interest,False,normal,False,,False,,,seed,seed_100
seed_101,Интересует синус-лифтинг,anamnesis,treatment_interest,False,normal,False,,False,,,seed,seed_101
seed_118,Цена элайнеров?,faq,price,False,normal,False,,False,,,seed,seed_118
seed_172,Демин ещё работает у вас?,faq,doctor_info,False,normal,False,,False,,,seed,seed_172
seed_174,Есть ли пародонтолог?,faq,doctor_info,False,normal,False,,False,,,seed,seed_174
seed_176,Конновская принимает?,faq,doctor_info,False,normal,False,,False,,,seed,seed_176
seed_177,Какая специализация у Демина?,faq,doctor_info,False,normal,False,,False,,,seed,seed_177
seed_181,Есть врач-гнатолог?,faq,doctor_info,False,normal,False,,False,,,seed,seed_181
seed_251,Хочу записаться к Конновской,booking,new_appointment,True,normal,False,детский стоматолог,False,,,seed,seed_251
var_seed_181_dc23bb,гнатолог есть,faq,doctor_info,False,normal,False,,False,,hurried,grok_variation,seed_181
var_seed_181_74e58e,гнатолог чё,faq,doctor_info,False,normal,False,,False,,hurried,grok_variation,seed_181
var_seed_181_21da95,ребёнку кривой прикус нужен гнатолог есть у вас кто с детьми работает,faq,doctor_info,False,normal,False,,False,,contextual,grok_variation,seed_181
var_seed_181_b74923,на работе челюсть щёлкает читал нужен гнатолог такой доктор у вас имеется,faq,doctor_info,False,normal,False,,False,,contextual,grok_variation,seed_181
var_seed_181_1dc09b,давно думаю про прикус гнатолог поможет у вас есть специалист такой,faq,doctor_info,False,normal,False,,False,,contextual,grok_variation,seed_181
var_seed_181_678a93,мужу посоветовали гнатолога вы такого врача держите или к кому идти,faq,doctor_info,False,normal,False,,False,,contextual,grok_variation,seed_181
var_seed_181_96ca77,подскажите есть гнатолог,faq,doctor_info,False,normal,False,,False,,normal,grok_variation,seed_181
var_seed_181_acf458,работает гнатолог у вас,faq,doctor_info,False,normal,False,,False,,normal,grok_variation,seed_181
var_seed_078_08b041,нужны элайнеры,anamnesis,treatment_interest,False,normal,False,,False,,hurried,grok_variation,seed_078
var_seed_078_5c2e7b,эллайнеры ставите,anamnesis,treatment_interest,False,normal,False,,False,,hurried,grok_variation,seed_078
var_seed_078_fd4102,дочке 10 лет зубы торчат хочу элайнеры вместо брекетов чтоб незаметно,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_078
var_seed_078_6ec7f3,на работе стесняюсь улыбаться зубы неровные элайнеры подойдут мне,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_078
var_seed_078_debf82,начиталась про элайнеры отзывы хорошие но боюсь боли хочу попробовать,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_078
var_seed_078_a0384d,с фото в инсте все ровные зубы решил элайнеры сделать для себя,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_078
var_seed_078_aa2113,интересуют элайнеры,anamnesis,treatment_interest,False,normal,False,,False,,normal,grok_variation,seed_078
var_seed_100_ba8b55,вкладку надо срочно,anamnesis,treatment_interest,False,normal,False,,False,,hurried,grok_variation,seed_100
var_seed_100_5145ab,хочу вкладку ставить,anamnesis,treatment_interest,False,normal,False,,False,,hurried,grok_variation,seed_100
var_seed_100_cfd93f,вкладка нужна чё,anamnesis,treatment_interest,False,normal,False,,False,,hurried,grok_variation,seed_100
var_seed_100_11027f,пломба большая треснула зуб крошится вчера орехом ударил теперь вкладку хочу,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_100
var_seed_100_60606b,на жевательном зубе дырка огромная врач раньше говорил вкладку ставить а я тянул,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_100
var_seed_100_98d6c6,давно пломба старая держится на соплях надо нормальную вкладку поставить чтоб не болело,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_100
var_seed_100_bc82eb,кусок зуба откололся от конфеты твердой теперь боюсь жевать хочу вкладку аккуратную,anamnesis,treatment_interest,False,normal,False,,False,,contextual,grok_variation,seed_100
var_seed_100_f75a86,подскажите про вкладку на зуб,anamnesis,treatment_interest,False,normal,False,,False,,normal,grok_variation,seed_100
var_seed_100_887784,интересует поставить вкладку,anamnesis,treatment_interest,False,normal,False,,False,,normal,grok_variation,seed_100
var_seed_101_52ba8d,делаете синус лифтинг,anamnesis,treatment_interest,False,normal,False,,False,,hurried,grok_variation,seed_101
