candidate_idx,scenario,text,max_sim_to_hard,nearest_hard_id,max_sim_to_seed,nearest_seed_id,max_sim_to_train,nearest_train_id,auto_reject_reason,intra_pool_duplicate_of
0,simple_faq_clean,скока чистка зубов,0.6016,hard_027,0.64,seed_022,0.8701,var_seed_107_52fc97,train>=0.85,
1,simple_faq_clean,Цена на пломбирование?,0.8797,switch_032,0.8371,seed_121,0.7408,var_seed_220_2dd9c1,hard>=0.85,
2,simple_faq_clean,сколько вставка штифта,0.5585,switch_032,0.549,seed_106,0.5795,var_seed_219_d9d8c0,,
3,simple_faq_clean,отбеливание зубов цена,0.8253,switch_043,0.8404,seed_112,0.8801,var_seed_112_17771a,train>=0.85,
4,simple_faq_clean,стоимость удаления камня,0.726,hard_156,0.7172,seed_089,0.7484,var_seed_089_944f54,,
5,simple_faq_clean,СКОЛЬКО ИМПЛАНТ,0.7277,hard_095,0.7445,seed_106,0.7445,seed_106,,
6,simple_faq_clean,пломба сколько денег,0.8672,switch_032,0.8584,seed_121,0.7003,var_seed_114_9d203a,"hard>=0.85,seed>=0.85",
7,simple_faq_clean,цена протеза челюсти,0.6556,hard_095,0.8338,seed_122,0.8843,var_seed_122_4298ce,train>=0.85,
8,simple_faq_clean,замена пломбы скока,0.6213,hard_096,0.6615,seed_036,0.8412,var_seed_114_9d203a,,
9,simple_faq_clean,сколько коронка ставить,0.6646,hard_009,0.8626,seed_215,0.8784,var_seed_215_323bab,"seed>=0.85,train>=0.85",
10,simple_faq_clean,работаете вечером?,0.9514,switch_040,0.806,seed_350,0.806,seed_350,hard>=0.85,
11,simple_faq_clean,график в выходные,0.619,switch_011,0.6634,seed_277,0.8724,var_seed_137_0c46f9,train>=0.85,
12,simple_faq_clean,до скольки в пятницу,0.5952,switch_041,0.6861,seed_281,0.8049,var_seed_140_95b7e1,,
13,simple_faq_clean,открыто ли воскресенье,0.8022,switch_011,0.8304,seed_144,0.7798,var_seed_187_8dad1b,,
14,simple_faq_clean,время работы будни,0.5769,switch_040,0.6513,seed_137,0.7248,var_seed_140_8d1758,,
15,simple_faq_clean,суббота прием есть?,0.7069,switch_011,0.7787,seed_227,0.8825,var_seed_137_c064b4,train>=0.85,
16,simple_faq_clean,какие часы приема,0.6241,switch_036,0.7739,seed_227,0.8072,var_seed_227_8580d7,,
17,simple_faq_clean,работаем ли ночью,0.8517,switch_040,0.7272,seed_137,0.7272,seed_137,hard>=0.85,
18,simple_faq_clean,обеденный перерыв когда,0.5732,switch_033,0.78,seed_282,0.7012,var_seed_248_1a77cd,,
19,simple_faq_clean,выходные дни график,0.6003,switch_011,0.6335,seed_187,0.81,var_seed_137_0c46f9,,
20,simple_faq_clean,адрес клиники точный,0.6612,switch_017,0.6693,seed_143,0.8109,var_seed_136_27d9ef,,
21,simple_faq_clean,как доехать автобусом,0.5824,switch_024,0.7144,seed_148,0.8341,var_seed_148_1e4525,,
22,simple_faq_clean,где находитесь метро,0.6572,switch_004,0.6874,seed_136,0.7589,var_seed_136_5a2d9b,,
23,simple_faq_clean,парковка есть рядом,0.8463,switch_024,0.8942,seed_138,0.7949,var_seed_330_d386ce,seed>=0.85,
24,simple_faq_clean,улица и дом клиники,0.7347,switch_017,0.7434,seed_143,0.8367,var_seed_136_27d9ef,,
25,simple_faq_clean,КАКИЙ АДРЕС,0.8325,hard_044,0.8015,seed_139,0.8751,var_seed_136_de360a,train>=0.85,
26,simple_faq_clean,на карте покажите,0.6779,hard_037,0.6783,seed_411,0.7066,var_seed_411_119427,,
27,simple_faq_clean,район где стоите,0.7251,switch_004,0.7466,seed_136,0.8133,var_seed_136_5a2d9b,,
28,simple_faq_clean,от вокзала как дойти,0.5542,switch_024,0.6404,seed_148,0.8504,var_seed_148_9b4e18,train>=0.85,
29,simple_faq_clean,гарантия на лечение сколько,0.6745,hard_001,0.7879,seed_150,0.6881,var_seed_122_4421a6,,
30,simple_faq_clean,Какие пломбы используете?,0.733,switch_032,0.7709,seed_220,0.8316,var_seed_220_ba397c,,
31,simple_faq_clean,подготовка к импланту,0.7344,hard_111,0.7499,seed_246,0.7529,var_seed_072_196ce6,,
32,simple_faq_clean,виды отбеливания какие,0.672,switch_043,0.686,seed_198,0.723,var_seed_071_36eec9,,
33,simple_faq_clean,можно ли курить после,0.829,hard_113,0.8505,seed_218,0.8505,seed_218,"seed>=0.85,train>=0.85",
34,simple_faq_clean,оборудование какое новое,0.5145,switch_001,0.5209,seed_127,0.5659,var_seed_401_372f33,,
35,simple_faq_clean,протезы съемные есть,0.5844,hard_030,0.7853,seed_058,0.7891,var_seed_058_d63863,,
36,simple_faq_clean,анестезия безболезненная,0.6204,hard_074,0.6802,seed_223,0.776,var_seed_125_1b65d0,,
37,simple_faq_clean,сколько сеансов чистка,0.7307,hard_088,0.817,seed_197,0.7829,var_seed_219_7ee73b,,
38,simple_faq_clean,рентген на месте делают,0.583,hard_075,0.7699,seed_154,0.7894,var_seed_154_f9037d,,
39,simple_faq_clean,стоимость консультации врача,0.6682,hard_001,0.9318,seed_116,0.9318,seed_116,"seed>=0.85,train>=0.85",
40,simple_faq_clean,пломбировка каналов цена,0.6924,switch_032,0.7409,seed_123,0.7418,var_seed_123_0ae26f,,
41,simple_faq_clean,керамические коронки сколько,0.6109,hard_009,0.6589,seed_094,0.7896,var_seed_113_5c109e,,
42,simple_faq_clean,лазерное отбеливание скока,0.5527,switch_043,0.6298,seed_071,0.8548,var_seed_112_5a2779,train>=0.85,
43,simple_faq_clean,съемный протез цена,0.6138,hard_004,0.8006,seed_122,0.8406,var_seed_122_4298ce,,
44,simple_faq_clean,профчистка зубов стоимость,0.691,hard_156,0.6847,seed_131,0.8611,var_seed_107_c0fd12,train>=0.85,
45,simple_faq_clean,металлокерамика зуба цена,0.6656,hard_001,0.6511,seed_131,0.6951,var_seed_107_c0fd12,,
46,simple_faq_clean,гигиена полости рта скока,0.5419,hard_027,0.5746,seed_011,0.7059,var_seed_107_52fc97,,
47,simple_faq_clean,акции на лечение есть,0.6403,hard_032,0.7369,seed_161,0.6903,var_seed_098_e5c3b4,,
48,simple_faq_clean,понедельник с какого часа,0.7036,switch_044,0.725,seed_241,0.7601,var_seed_241_5d4dc6,,
49,simple_faq_clean,летний график работы,0.5807,switch_040,0.608,seed_137,0.7614,var_seed_140_8d1758,,
50,simple_faq_clean,утренний прием время,0.69,switch_036,0.7504,seed_244,0.883,var_seed_244_59d13c,train>=0.85,
51,simple_faq_clean,закрыто ли в жару,0.5432,hard_170,0.5913,seed_155,0.6204,var_seed_155_b71db6,,
