id,text,label_l1,label_l2,notes
1,"У меня зуб ноет уже второй день",anamnesis,symptom,clean
2,"Десна опухла и больно жевать",anamnesis,symptom,clean
3,"Выпала старая пломба вчера вечером",anamnesis,complaint,clean
4,"Слетела коронка с жевательного зуба",anamnesis,complaint,clean
5,"Хочу поставить виниры на верхние зубы",anamnesis,services,clean
6,"Интересуют брекеты для исправления прикуса",anamnesis,services,clean
7,"Запишите меня к терапевту на этой неделе",booking,new_appointment,explicit_booking
8,"Есть запись на чистку в субботу?",booking,new_appointment,question_booking
9,"Можно перенести запись с пятницы на понедельник?",booking,reschedule,clean
10,"Перезапишите меня на вечер после работы",booking,reschedule,clean
11,"Нужно отменить запись на завтра",booking,cancel,clean
12,"Я не смогу прийти, отмените пожалуйста",booking,cancel,clean
13,"Сколько стоит имплант под ключ?",faq,price,clean
14,"Цена отбеливания сейчас какая?",faq,price,casual
15,"До скольки вы сегодня работаете?",faq,clinic_info,clean
16,"Какой у вас адрес и есть ли парковка?",faq,clinic_info,multi_fact
17,"Это больно ставить имплант?",faq,procedure,clean
18,"Сколько по времени длится лечение каналов?",faq,procedure,clean
19,"Что нельзя есть после удаления зуба?",faq,visit_prep,clean
20,"Нужно ли сдавать анализы перед имплантацией?",faq,visit_prep,clean
21,"А если после лечения боль не пройдет?",faq,followup,clean
22,"Что лучше выбрать: брекеты или элайнеры?",faq,followup,comparison_like
23,"Ждал приема сорок минут, это вообще нормально?",feedback,negative_service,complaint_service
24,"Мне так и не перезвонили после заявки",feedback,negative_service,complaint_service
25,"После лечения стало только хуже",feedback,negative_quality,post_treatment_negative
26,"Пломба выпала через неделю после установки",feedback,negative_quality,post_treatment_negative
27,"Администратор разговаривал очень грубо",feedback,negative_staff,complaint_staff
28,"Врач вообще ничего не объяснил на приеме",feedback,negative_staff,complaint_staff
29,"Хочу оставить жалобу на обслуживание",feedback,negative_general,explicit_complaint
30,"Очень недоволен вашей клиникой",feedback,negative_general,explicit_complaint
31,"Спасибо, записали очень быстро и удобно",feedback,positive_service,positive_feedback
32,"Приняли вовремя, сервис отличный",feedback,positive_service,positive_feedback
33,"Лечение помогло, зуб больше не болит",feedback,positive_quality,positive_feedback
34,"Коронка идеально подошла, спасибо врачу",feedback,positive_quality,positive_feedback
35,"Доктор был очень внимательный и спокойный",feedback,positive_staff,positive_feedback
36,"Персонал очень вежливый, все понятно объяснили",feedback,positive_staff,positive_feedback
37,"Очень довольна вашей клиникой",feedback,positive_general,positive_feedback
38,"Спасибо за отличную работу, буду рекомендовать вас",feedback,positive_general,positive_feedback
39,"Здравствуйте",conversational,greeting,clean
40,"Добрый вечер!",conversational,greeting,clean
41,"Спасибо большое, все понятно",conversational,gratitude,clean
42,"Благодарю за помощь",conversational,gratitude,clean
43,"Хорошо, давайте так и сделаем",conversational,confirmation,clean
44,"Понял, подходит",conversational,confirmation,clean
45,"До свидания, хорошего дня",conversational,farewell,clean
46,"Пока, спасибо!",conversational,farewell,clean
47,"Я подумаю и напишу позже",conversational,unclear,clean
48,"Пока не решил, надо посоветоваться",conversational,unclear,clean
