eval_set,id,text,true,pred_sparse,pred_dense,error_type,urgency,subtype,source,seed_id,sparse_error,dense_error,sparse_dense_disagree,rule_category_correct,manual_error_type,audit_comment
test,var_seed_080_441dd5,удалить зуб мудрости надо,anamnesis,faq,anamnesis,anamnesis_to_faq,normal,treatment_interest,grok_variation,seed_080,True,False,True,,,
test,seed_407,Вы меня разочаровали,unsupported,faq,unsupported,vague_short_error,normal,feedback,seed,seed_407,True,False,True,,,
test,var_seed_190_584892,эстетика у кого,faq,anamnesis,faq,specialization_confusion,normal,doctor_info,grok_variation,seed_190,True,False,True,,,
test,var_seed_109_d70573,на работу надо улыбку идеальную виниры скока за пару передних,faq,anamnesis,anamnesis,faq_to_anamnesis,normal,price,grok_variation,seed_109,True,True,False,,,
test,var_seed_101_570a1a,синус лифтинг чё,anamnesis,unsupported,anamnesis,vague_short_error,normal,treatment_interest,grok_variation,seed_101,True,False,True,,,
test,var_seed_176_ebb095,муж хочет только к конновской она принимает по вечерам,faq,faq,booking,specialization_confusion,normal,doctor_info,grok_variation,seed_176,False,True,True,,,
test,var_seed_101_0f6304,врач сказал синус лифтинг перед имплантом наверху надо расскажи как проходит,anamnesis,faq,faq,anamnesis_to_faq,normal,treatment_interest,grok_variation,seed_101,True,True,False,,,
test,var_seed_246_b0cb58,имплант хочу поставить,booking,anamnesis,anamnesis,both_wrong,normal,new_appointment,grok_variation,seed_246,True,True,False,,,
hard_test,hard_157,"жевательный зуб трещит, можно ли срочно к врачу и цена?",anamnesis,faq,faq,both_wrong,normal,symptom,grok_audited,,True,True,False,,,
test,var_seed_183_37b2b7,про докторов чё,faq,unsupported,unsupported,both_wrong,normal,doctor_info,grok_variation,seed_183,True,True,False,,,
test,var_seed_100_ba8b55,вкладку надо срочно,anamnesis,booking,booking,anamnesis_to_booking,normal,treatment_interest,grok_variation,seed_100,True,True,False,,,
hard_test,hard_151,"Зуб сильно ноет, сколько стоит пломба?",anamnesis,faq,faq,anamnesis_to_faq,normal,symptom,grok_rewritten,,True,True,False,,,
hard_test,hard_032,Лечение,unsupported,anamnesis,faq,models_disagree_both_wrong,normal,unclear_short,manual_hard,,True,True,True,,,
hard_test,hard_096,"Привет, выпала пломба, что делать?",anamnesis,anamnesis,faq,generic_error,normal,complaint,manual_hard,,False,True,True,,,
test,var_seed_407_2bd296,разочарование полное,unsupported,anamnesis,unsupported,vague_short_error,normal,feedback,grok_variation,seed_407,True,False,True,,,
hard_test,hard_075,Нужен приём у стоматолога-хирурга,booking,faq,faq,both_wrong,normal,new_appointment,manual_hard,,True,True,False,,,
hard_test,hard_154,"Нерв оголился и болит, можно записаться на завтра?",anamnesis,booking,booking,anamnesis_to_booking,normal,symptom,grok_rewritten,,True,True,False,,,
test,var_seed_190_584892,эстетика у кого,faq,anamnesis,faq,faq_to_anamnesis,normal,doctor_info,grok_variation,seed_190,True,False,True,,,
test,var_seed_176_219089,конновская ведёт приём,faq,booking,booking,vague_short_error,normal,doctor_info,grok_variation,seed_176,True,True,False,,,
hard_test,hard_081,К Петрову запишите на пятницу,faq,booking,booking,specialization_confusion,normal,doctor_info,manual_hard,,True,True,False,,,
test,seed_042,Временная пломба вылетела,anamnesis,faq,anamnesis,anamnesis_to_faq,normal,complaint,seed,seed_042,True,False,True,,,
