candidate_id,scenario,text,route_domain,subtype,urgency,ml_predicted_label,ml_predicted_conf,ml_gold_conf,audit_decision,audit_reason
p5_001,simple_faq_clean,сколько вставка штифта,faq,price,normal,faq,0.7517,0.7517,accept,ml_agrees
p5_002,simple_faq_clean,стоимость удаления камня,faq,price,normal,faq,0.8889,0.8889,accept,ml_agrees
p5_003,simple_faq_clean,СКОЛЬКО ИМПЛАНТ,faq,price,normal,faq,0.9458,0.9458,accept,ml_agrees
p5_004,simple_faq_clean,замена пломбы скока,faq,price,normal,faq,0.8882,0.8882,accept,ml_agrees
p5_005,simple_faq_clean,до скольки в пятницу,faq,schedule,normal,faq,0.7015,0.7015,accept,ml_agrees
p5_006,simple_faq_clean,открыто ли воскресенье,faq,schedule,normal,faq,0.6346,0.6346,accept,ml_agrees
p5_007,simple_faq_clean,время работы будни,faq,schedule,normal,faq,0.5472,0.5472,accept,ml_agrees
p5_008,simple_faq_clean,какие часы приема,faq,schedule,normal,faq,0.4656,0.4656,accept,ml_agrees
p5_009,simple_faq_clean,обеденный перерыв когда,faq,schedule,normal,booking,0.425,0.2461,accept,ml_weak_can_learn
p5_010,simple_faq_clean,выходные дни график,faq,schedule,normal,faq,0.5277,0.5277,accept,ml_agrees
p5_011,simple_faq_clean,адрес клиники точный,faq,location,normal,faq,0.8092,0.8092,accept,ml_agrees
p5_012,simple_faq_clean,как доехать автобусом,faq,location,normal,faq,0.6191,0.6191,accept,ml_agrees
p5_013,simple_faq_clean,где находитесь метро,faq,location,normal,faq,0.6722,0.6722,accept,ml_agrees
p5_014,simple_faq_clean,улица и дом клиники,faq,location,normal,faq,0.5454,0.5454,accept,ml_agrees
p5_015,simple_faq_clean,на карте покажите,faq,location,normal,unsupported,0.5142,0.3391,accept,ml_weak_can_learn
p5_016,simple_faq_clean,район где стоите,faq,location,normal,faq,0.4958,0.4958,accept,ml_agrees
p5_017,simple_faq_clean,гарантия на лечение сколько,faq,general,normal,faq,0.8758,0.8758,accept,ml_agrees
p5_018,simple_faq_clean,Какие пломбы используете?,faq,general,normal,faq,0.7672,0.7672,accept,ml_agrees
p5_019,simple_faq_clean,подготовка к импланту,faq,general,normal,faq,0.5097,0.5097,accept,ml_agrees
p5_020,simple_faq_clean,виды отбеливания какие,faq,general,normal,faq,0.8395,0.8395,accept,ml_agrees
p5_021,simple_faq_clean,оборудование какое новое,faq,general,normal,faq,0.6323,0.6323,accept,ml_agrees
p5_022,simple_faq_clean,протезы съемные есть,faq,general,normal,anamnesis,0.5036,0.3801,accept,ml_weak_can_learn
p5_023,simple_faq_clean,анестезия безболезненная,faq,general,normal,faq,0.5531,0.5531,accept,ml_agrees
p5_024,simple_faq_clean,сколько сеансов чистка,faq,general,normal,faq,0.8947,0.8947,accept,ml_agrees
p5_025,simple_faq_clean,рентген на месте делают,faq,general,normal,faq,0.7114,0.7114,accept,ml_agrees
p5_026,simple_faq_clean,пломбировка каналов цена,faq,price,normal,faq,0.7861,0.7861,accept,ml_agrees
p5_027,simple_faq_clean,керамические коронки сколько,faq,price,normal,faq,0.8266,0.8266,accept,ml_agrees
p5_028,simple_faq_clean,съемный протез цена,faq,price,normal,faq,0.7727,0.7727,accept,ml_agrees
p5_029,simple_faq_clean,металлокерамика зуба цена,faq,price,normal,faq,0.7272,0.7272,accept,ml_agrees
p5_030,simple_faq_clean,гигиена полости рта скока,faq,price,normal,faq,0.8132,0.8132,accept,ml_agrees
p5_031,simple_faq_clean,акции на лечение есть,faq,price,normal,faq,0.6737,0.6737,accept,ml_agrees
p5_032,simple_faq_clean,понедельник с какого часа,faq,schedule,normal,booking,0.5343,0.2803,accept,ml_weak_can_learn
p5_033,simple_faq_clean,летний график работы,faq,schedule,normal,faq,0.5659,0.5659,accept,ml_agrees
p5_034,simple_faq_clean,закрыто ли в жару,faq,schedule,normal,faq,0.4241,0.4241,accept,ml_agrees
p5_035,simple_faq_clean,дети с какого возраста,faq,schedule,normal,faq,0.7876,0.7876,accept,ml_agrees
p5_036,simple_faq_clean,ночь накануне открыты,faq,schedule,normal,anamnesis,0.4494,0.1447,accept,ml_weak_can_learn
p5_037,simple_faq_clean,кабинеты по скольку работают,faq,schedule,normal,faq,0.8715,0.8715,accept,ml_agrees
p5_038,simple_faq_clean,маршрут от центра,faq,location,normal,faq,0.6361,0.6361,accept,ml_agrees
p5_039,simple_faq_clean,телефон для ориентира,faq,location,normal,booking,0.3356,0.2472,accept,ml_weak_can_learn
p5_040,simple_faq_clean,ближайший остановка какая,faq,location,normal,unsupported,0.6158,0.2478,accept,ml_weak_can_learn
p5_041,simple_faq_clean,вход с какой стороны,faq,location,normal,faq,0.6775,0.6775,accept,ml_agrees
p5_042,simple_faq_clean,фото фасада покажите,faq,location,normal,unsupported,0.4332,0.2354,accept,ml_weak_can_learn
p5_043,simple_faq_clean,район спальный или центр,faq,location,normal,faq,0.4826,0.4826,accept,ml_agrees
p5_044,simple_faq_clean,навигатор ведет точно,faq,location,normal,unsupported,0.429,0.3166,accept,ml_weak_can_learn
p5_045,simple_faq_clean,синий забор или красный,faq,location,normal,faq,0.4081,0.4081,accept,ml_agrees
p5_046,simple_faq_clean,костные импланты ставят,faq,general,normal,faq,0.462,0.462,accept,ml_agrees
p5_047,simple_faq_clean,после пломбы что нельзя,faq,general,normal,faq,0.5931,0.5931,accept,ml_agrees
p5_048,simple_faq_clean,виниры какие материалы,faq,general,normal,faq,0.625,0.625,accept,ml_agrees
p5_049,simple_faq_clean,рентген цифровой или пленка,faq,general,normal,faq,0.8333,0.8333,accept,ml_agrees
p5_050,simple_faq_clean,детская стоматология услуги,faq,general,normal,faq,0.7885,0.7885,accept,ml_agrees
p5_051,simple_faq_clean,гарантия на отбеливание,faq,general,normal,faq,0.6934,0.6934,accept,ml_agrees
p5_052,simple_faq_clean,процедура установки брекетов,faq,general,normal,faq,0.7524,0.7524,accept,ml_agrees
