id,text,label_intent,label_scenario,source
71,Сколько стоит лечение кариеса?,price_question,faq_flow,synthetic
113,как к вам добраться?,other,faq_flow,synthetic
62,Во сколько обойдётся снимок?,price_question,faq_flow,synthetic
90,Можно отменить приём на завтра?,reschedule_cancel,reschedule_flow,synthetic
10,Мне нужно к хирургу,booking,booking_flow,synthetic
84,хочу перенести запись,reschedule_cancel,reschedule_flow,synthetic
19,Можно ли записаться на имплантацию?,booking,booking_flow,synthetic
105,Есть ли парковка?,other,faq_flow,synthetic
23,Зуб потемнел,complaint_primary,anamnesis_flow,synthetic
41,А что если не лечить,followup_question,faq_flow,synthetic
72,какая цена на детский приём?,price_question,faq_flow,synthetic
58,А что если не лечить!,followup_question,faq_flow,synthetic
120,Можно ли оплатить картой?,other,faq_flow,synthetic
102,есть ли парковка?,other,faq_flow,synthetic
40,Зуб потемнел,complaint_primary,anamnesis_flow,synthetic
15,хочу попасть к врачу как можно скорее,booking,booking_flow,synthetic
27,появилась шишка на десне,complaint_primary,anamnesis_flow,synthetic
81,нужно изменить время записи!,reschedule_cancel,reschedule_flow,synthetic
101,Здравствуйте.,other,faq_flow,synthetic
82,Можно отменить приём на завтра?,reschedule_cancel,reschedule_flow,synthetic
100,"Хочу отменить, заболел",reschedule_cancel,reschedule_flow,synthetic
1,Хочу записаться на приём к стоматологу,booking,booking_flow,synthetic
47,А если боль вернётся!,followup_question,faq_flow,synthetic
21,Беспокоит кровоточивость,complaint_primary,anamnesis_flow,synthetic
119,"Спасибо, до свидания",other,faq_flow,synthetic
104,"Ок, подумаю",other,faq_flow,synthetic
118,спасибо за информацию,other,faq_flow,synthetic
109,Работаете ли в выходные?,other,faq_flow,synthetic
114,есть ли у вас сайт?,other,faq_flow,synthetic
94,Хочу перенести запись,reschedule_cancel,reschedule_flow,synthetic
12,Хочу прийти на чистку,booking,booking_flow,synthetic
67,сколько стоит лечение кариеса?,price_question,faq_flow,synthetic
95,Отмена записи на 15 число,reschedule_cancel,reschedule_flow,synthetic
99,отмените мою запись,reschedule_cancel,reschedule_flow,synthetic
57,Будут ли какие-то ограничения?,followup_question,faq_flow,synthetic
16,Есть свободное время на эту неделю?,booking,booking_flow,synthetic
5,Запись к хирургу на пятницу,booking,booking_flow,synthetic
13,Хочу на приём к ортодонту,booking,booking_flow,synthetic
68,стоимость брекетов?,price_question,faq_flow,synthetic
25,"отёк, что делать?",complaint_primary,anamnesis_flow,synthetic
110,Есть ли парковка?,other,faq_flow,synthetic
96,Нужно изменить время записи,reschedule_cancel,reschedule_flow,synthetic
2,Запишите меня на чистку зубов,booking,booking_flow,synthetic
38,Откололся кусочек зуба,complaint_primary,anamnesis_flow,synthetic
75,Во сколько обойдётся чистка?,price_question,faq_flow,synthetic
66,Во сколько обойдётся снимок.,price_question,faq_flow,synthetic
53,Сколько времени займёт лечение?,followup_question,faq_flow,synthetic
78,стоимость брекетов?,price_question,faq_flow,synthetic
46,А анестезия входит в стоимость?,followup_question,faq_flow,synthetic
48,А это больно?,followup_question,faq_flow,synthetic
111,Принимаете ли детей?,other,faq_flow,synthetic
