id,text,label_l1,label_l2,scenario,source,complexity
6088,некомпетентный врач!,negative_feedback,staff,escalation_flow,augmented,simple
3327,"Добрый день, привет, отказ от записи",booking,cancel,booking_flow,augmented,complex
4829,Спасбио,conversational,gratitude,conversation_flow,augmented,simple
9330,Сколько нельзя курить после брекеты...,faq,visit_prep,faq_flow,augmented,simple
48,Сколько стоит удаление?,faq,price,faq_flow,variation,simple
4711,Сколько нельзя пить после осмотр?,faq,visit_prep,faq_flow,variation,simple
3838,До сивдания.,conversational,farewell,conversation_flow,augmented,simple
4125,Сказали что записи нет спасибо,negative_feedback,service_issue,escalation_flow,augmented,simple
993,Врач Иванован е объяснил,negative_feedback,staff,escalation_flow,augmented,simple
4846,Запишите к детскому стоматологу,booking,new_appointment,booking_flow,variation,simple
4208,Посоветуюсь 🦷,conversational,unclear,clarification_flow,augmented,simple
2639,Спасибо большое 🦷,conversational,gratitude,conversation_flow,augmented,simple
1098,"Не смогу прийти, занят на работе",booking,cancel,booking_flow,variation,medium
7048,"Подскажите, планирую исправить прикус",anamnesis,services,anamnesis_flow,augmented,complex
5675,Не понравилось пожалуйста!!,negative_feedback,general,escalation_flow,augmented,simple
8260,"Отмените, пожалуйста пожалуйста",booking,cancel,booking_flow,augmented,complex
2145,Мне не перезвонили с утра?!,negative_feedback,service_issue,escalation_flow,augmented,simple
3911,Хочу оставить жалобу заранее спасибо,negative_feedback,general,escalation_flow,augmented,simple
2026,виниры сколько стоит?,faq,price,faq_flow,variation,simple
5962,"Подскажите, добрый день пожалуйста",conversational,greeting,conversation_flow,augmented,complex
4565,После лечение каналов у Смирновой стало хуже?!,negative_feedback,quality,escalation_flow,augmented,medium
5850,удаление это больно 👍,faq,procedure,faq_flow,augmented,simple
9151,"Привет, привет?!",conversational,greeting,conversation_flow,augmented,complex
2866,У меня боль при жевании день,anamnesis,symptom,anamnesis_flow,variation,medium
7513,"Привет, не сейчас",conversational,unclear,clarification_flow,augmented,complex
1282,"Скажите, скажите, работаете в пятницу?",faq,clinic_info,faq_flow,augmented,complex
2060,"Добрый день, а можно по-другому?",faq,followup,faq_flow,augmented,complex
7788,Приду пожалуйста 👍,conversational,confirmation,conversation_flow,augmented,simple
1865,ЗДРАВСТВЙУТЕ!,conversational,greeting,conversation_flow,augmented,simple
2437,почём консультацию,faq,price,faq_flow,augmented,simple
6347,Интересует протезирование!!,anamnesis,services,anamnesis_flow,augmented,simple
8117,Добрыйд ень заранее спасибо,conversational,greeting,conversation_flow,augmented,simple
2711,Сколько нельзя есть после реставрацию?,faq,visit_prep,faq_flow,variation,simple
7776,Треснул зуб 🙏,anamnesis,complaint,anamnesis_flow,augmented,simple
4191,Можно перенести на сегодня спасибо,booking,reschedule,booking_flow,augmented,simple
2956,"Поясните, пожалусйта",faq,followup,faq_flow,augmented,complex
6680,Сколько стоит элайнеРы!!,faq,price,faq_flow,augmented,simple
4591,Запись к ортодонту на воскресенье 😊,booking,new_appointment,booking_flow,augmented,medium
1253,"Привет, хочу попасть на приём",booking,new_appointment,booking_flow,augmented,complex
5290,"Отмените запись, форс-мажор",booking,cancel,booking_flow,variation,simple
