id,text,route_domain,subtype,explicit_booking,urgency,is_offtopic,specialization_hint,feedback_flag,faq_category,style,source,seed_id
seed_003,Ноет под коронкой,anamnesis,symptom,False,normal,False,,False,,,seed,seed_003
seed_004,Чувствительность на холодное,anamnesis,symptom,False,normal,False,,False,,,seed,seed_004
seed_005,Опухла щека,anamnesis,symptom,False,normal,False,,False,,,seed,seed_005
seed_006,Резкая боль в нижнем правом зубе,anamnesis,symptom,False,normal,False,,False,,,seed,seed_006
seed_007,"Дёсны опустились, видны корни",anamnesis,symptom,False,normal,False,,False,,,seed,seed_007
seed_008,Щёлкает челюсть при открывании рта,anamnesis,symptom,False,normal,False,,False,,,seed,seed_008
seed_009,Больно жевать на левой стороне,anamnesis,symptom,False,normal,False,,False,,,seed,seed_009
seed_012,"Температура 37.8, десна болит",anamnesis,symptom,False,urgent,False,,False,,,seed,seed_012
seed_013,Сильное кровотечение после удаления зуба,anamnesis,symptom,False,urgent,False,,False,,,seed,seed_013
seed_014,"Ребёнку плохо, зуб шатается после падения",anamnesis,symptom,False,urgent,False,,False,,,seed,seed_014
seed_015,Боль отдаёт в висок и ухо,anamnesis,symptom,False,normal,False,,False,,,seed,seed_015
seed_017,Пульсирующая боль по ночам,anamnesis,symptom,False,normal,False,,False,,,seed,seed_017
seed_018,Гной выходит из десны при надавливании,anamnesis,symptom,False,urgent,False,,False,,,seed,seed_018
seed_019,Рот полностью не открывается,anamnesis,symptom,False,normal,False,,False,,,seed,seed_019
seed_020,Утром челюсть скованная,anamnesis,symptom,False,normal,False,,False,,,seed,seed_020
seed_021,Ночью скрежет зубами,anamnesis,symptom,False,normal,False,,False,,,seed,seed_021
seed_022,Зубы стираются,anamnesis,symptom,False,normal,False,,False,,,seed,seed_022
seed_023,Лимфоузел под челюстью увеличился,anamnesis,symptom,False,urgent,False,,False,,,seed,seed_023
seed_024,"Припухлость на десне, как шарик",anamnesis,symptom,False,normal,False,,False,,,seed,seed_024
seed_026,Кровоточивость при чистке зубов,anamnesis,symptom,False,normal,False,,False,,,seed,seed_026
seed_027,Зуб потемнел,anamnesis,symptom,False,normal,False,,False,,,seed,seed_027
seed_029,Натирает щёку изнутри,anamnesis,symptom,False,normal,False,,False,,,seed,seed_029
seed_032,Чешутся дёсны,anamnesis,symptom,False,normal,False,,False,,,seed,seed_032
seed_037,Откололся кусок зуба,anamnesis,complaint,False,normal,False,,False,,,seed,seed_037
seed_040,Брекет отклеился,anamnesis,complaint,False,normal,False,,False,,,seed,seed_040
seed_041,Сломался передний зуб,anamnesis,complaint,False,normal,False,,False,,,seed,seed_041
seed_043,Протез натирает десну,anamnesis,complaint,False,normal,False,,False,,,seed,seed_043
seed_044,Мост отпал,anamnesis,complaint,False,normal,False,,False,,,seed,seed_044
seed_047,Выпал штифт из зуба,anamnesis,complaint,False,normal,False,,False,,,seed,seed_047
seed_049,Винир отвалился,anamnesis,complaint,False,normal,False,,False,,,seed,seed_049
seed_050,Зуб разрушен до корня,anamnesis,complaint,False,normal,False,,False,,,seed,seed_050
seed_052,"Пломба потемнела, некрасиво",anamnesis,complaint,False,normal,False,,False,,,seed,seed_052
