text_preview,gold,predicted,action,reason,confidence,margin,sparse_dense_agree,dense_label,correct
Хочу элайнеры,anamnesis,anamnesis,defer,low_confidence,0.3512,0.1233,True,anamnesis,False
Нужно поставить вкладку,anamnesis,anamnesis,defer,sparse_dense_disagree,0.4389,0.1699,False,booking,False
Интересует синус-лифтинг,anamnesis,anamnesis,accept,anamnesis_confident,0.6985,0.5463,True,anamnesis,True
Цена элайнеров?,faq,faq,accept,general_confident,0.8023,0.7226,True,faq,True
Демин ещё работает у вас?,faq,faq,accept,general_confident,0.6309,0.3894,True,faq,True
Есть ли пародонтолог?,faq,faq,accept,general_confident,0.723,0.6159,True,faq,True
Конновская принимает?,faq,faq,accept,general_confident,0.7293,0.6133,True,faq,True
Какая специализация у Демина?,faq,faq,defer,low_confidence,0.6088,0.3084,True,faq,False
Есть врач-гнатолог?,faq,faq,accept,general_confident,0.6405,0.4899,True,faq,True
Хочу записаться к Конновской,booking,booking,accept,general_confident,0.8704,0.819,True,booking,True
гнатолог есть,faq,faq,defer,low_confidence,0.5414,0.3481,True,faq,False
гнатолог чё,faq,faq,defer,low_confidence,0.359,0.0307,True,faq,False
ребёнку кривой прикус нужен гнатолог есть у вас кто с детьми работает,faq,faq,defer,low_confidence,0.6092,0.4268,True,faq,False
на работе челюсть щёлкает читал нужен гнатолог такой доктор у вас имеется,faq,anamnesis,defer,sparse_dense_disagree,0.4352,0.0366,False,faq,False
давно думаю про прикус гнатолог поможет у вас есть специалист такой,faq,unsupported,defer,sparse_dense_disagree,0.362,0.0343,False,faq,False
мужу посоветовали гнатолога вы такого врача держите или к кому идти,faq,faq,accept,general_confident,0.6418,0.4465,True,faq,True
подскажите есть гнатолог,faq,faq,defer,low_confidence,0.5958,0.3595,True,faq,False
работает гнатолог у вас,faq,faq,accept,general_confident,0.6847,0.486,True,faq,True
нужны элайнеры,anamnesis,faq,defer,faq_anamnesis_borderline,0.3825,0.0811,False,anamnesis,False
эллайнеры ставите,anamnesis,faq,defer,low_confidence,0.5246,0.3322,True,faq,False
дочке 10 лет зубы торчат хочу элайнеры вместо брекетов чтоб незаметно,anamnesis,anamnesis,accept,anamnesis_confident,0.5193,0.2537,True,anamnesis,True
на работе стесняюсь улыбаться зубы неровные элайнеры подойдут мне,anamnesis,anamnesis,accept,anamnesis_confident,0.6696,0.516,True,anamnesis,True
начиталась про элайнеры отзывы хорошие но боюсь боли хочу попробовать,anamnesis,anamnesis,defer,sparse_dense_disagree,0.4424,0.182,False,faq,False
с фото в инсте все ровные зубы решил элайнеры сделать для себя,anamnesis,anamnesis,accept,anamnesis_confident,0.5114,0.2845,True,anamnesis,True
интересуют элайнеры,anamnesis,anamnesis,defer,low_confidence,0.4635,0.2247,True,anamnesis,False
вкладку надо срочно,anamnesis,booking,defer,low_confidence,0.4222,0.1998,True,booking,False
хочу вкладку ставить,anamnesis,anamnesis,defer,sparse_dense_disagree,0.4786,0.2885,False,booking,False
вкладка нужна чё,anamnesis,anamnesis,accept,anamnesis_confident,0.4844,0.2394,False,faq,True
пломба большая треснула зуб крошится вчера орехом ударил теперь вкладку хочу,anamnesis,anamnesis,accept,anamnesis_confident,0.8377,0.7425,True,anamnesis,True
на жевательном зубе дырка огромная врач раньше говорил вкладку ставить а я тянул,anamnesis,anamnesis,accept,anamnesis_confident,0.6576,0.4957,True,anamnesis,True
давно пломба старая держится на соплях надо нормальную вкладку поставить чтоб не,anamnesis,anamnesis,accept,anamnesis_confident,0.7269,0.5944,False,faq,True
кусок зуба откололся от конфеты твердой теперь боюсь жевать хочу вкладку аккурат,anamnesis,anamnesis,accept,anamnesis_confident,0.8215,0.7355,True,anamnesis,True
подскажите про вкладку на зуб,anamnesis,anamnesis,defer,sparse_dense_disagree,0.3805,0.0941,False,faq,False
интересует поставить вкладку,anamnesis,anamnesis,accept,anamnesis_confident,0.7597,0.6493,False,booking,True
делаете синус лифтинг,anamnesis,faq,defer,low_confidence,0.5684,0.3079,True,faq,False
синус лифтинг чё,anamnesis,unsupported,defer,sparse_dense_disagree,0.4784,0.2036,False,anamnesis,False
нужен синуслифтинг,anamnesis,anamnesis,defer,low_confidence,0.3515,0.078,True,anamnesis,False
врач сказал синус лифтинг перед имплантом наверху надо расскажи как проходит,anamnesis,faq,defer,low_confidence,0.5471,0.2901,True,faq,False
верхняя челюсть кости мало для импланта синус лифтинг поможет или нет,anamnesis,anamnesis,accept,anamnesis_confident,0.602,0.2819,True,anamnesis,True
читал в инете про синус лифтинг для зубов сверху планирую ставить импланты,anamnesis,anamnesis,accept,anamnesis_confident,0.5586,0.1704,True,anamnesis,True
друг делал синуслифтинг теперь жуёт нормально у вас такая процедура есть,anamnesis,faq,defer,faq_anamnesis_borderline,0.3761,0.0622,False,anamnesis,False
подскажите про синус лифтинг,anamnesis,faq,defer,low_confidence,0.4465,0.1958,True,faq,False
синус-лифтинг интересует,anamnesis,anamnesis,accept,anamnesis_confident,0.6985,0.5463,True,anamnesis,True
хочу узнать синуслифтинг,anamnesis,anamnesis,accept,anamnesis_confident,0.5233,0.3563,True,anamnesis,True
скока элайнеры,faq,faq,accept,general_confident,0.7983,0.6823,True,faq,True
элайнеры цена чё,faq,faq,accept,general_confident,0.7396,0.6022,True,faq,True
почём элайнеры,faq,faq,defer,low_confidence,0.5476,0.3375,True,faq,False
сыну 14 лет кривые зубы элайнеры лучше брекетов скока комплект стоит,faq,faq,accept,general_confident,0.8248,0.7161,True,faq,True
вчера увидела рекламу элайнеров для взрослых но не знаю цену у вас какая примерн,faq,faq,accept,general_confident,0.647,0.4771,True,faq,True
на работе заметили кривизну хочу элайнеры поставить посоветуйте цену за курс,faq,faq,defer,low_confidence,0.4847,0.252,True,faq,False
друг сделал элайнеры теперь я думаю скока у вас полный комплект выйдет деньгами,faq,faq,accept,general_confident,0.63,0.413,True,faq,True
сколько стоят элайнеры,faq,faq,accept,general_confident,0.7949,0.6824,True,faq,True
демин ещё есть?,faq,faq,defer,low_confidence,0.6053,0.4467,True,faq,False
демин работает?,faq,faq,defer,low_confidence,0.5274,0.1866,True,faq,False
у вас демин?,faq,faq,accept,general_confident,0.6353,0.3884,True,faq,True
лечилась у демина год назад понравилось демин щас принимает у вас?,faq,faq,defer,low_confidence,0.5332,0.3219,True,faq,False
ребёнку ставили у демина всё ок теперь опять нужен демин ещё работает?,faq,unsupported,defer,sparse_dense_disagree,0.4107,0.0316,False,faq,False
слышал демин ушёл правда ли демин продолжает у вас работать?,faq,faq,accept,general_confident,0.6493,0.4535,True,faq,True
