text_preview,gold,predicted,action,reason,is_rule_accept,confidence,margin,correct
Хочу элайнеры,anamnesis,anamnesis,defer,low_confidence,False,0.3512,0.1233,False
Нужно поставить вкладку,anamnesis,anamnesis,defer,sparse_dense_disagree,False,0.4389,0.1699,False
Интересует синус-лифтинг,anamnesis,anamnesis,accept,anamnesis_confident,False,0.6985,0.5463,True
Цена элайнеров?,faq,faq,accept,general_confident,False,0.8023,0.7226,True
Демин ещё работает у вас?,faq,faq,accept,general_confident,False,0.6309,0.3894,True
Есть ли пародонтолог?,faq,faq,accept,general_confident,False,0.723,0.6159,True
Конновская принимает?,faq,faq,accept,general_confident,False,0.7293,0.6133,True
Какая специализация у Демина?,faq,faq,defer,low_confidence,False,0.6088,0.3084,False
Есть врач-гнатолог?,faq,faq,accept,general_confident,False,0.6405,0.4899,True
Хочу записаться к Конновской,booking,booking,accept,general_confident,False,0.8704,0.819,True
гнатолог есть,faq,faq,defer,low_confidence,False,0.5414,0.3481,False
гнатолог чё,faq,faq,defer,low_confidence,False,0.359,0.0307,False
ребёнку кривой прикус нужен гнатолог есть у вас кто с детьми работает,faq,faq,defer,low_confidence,False,0.6092,0.4268,False
на работе челюсть щёлкает читал нужен гнатолог такой доктор у вас имеется,faq,anamnesis,defer,sparse_dense_disagree,False,0.4352,0.0366,False
давно думаю про прикус гнатолог поможет у вас есть специалист такой,faq,unsupported,defer,sparse_dense_disagree,False,0.362,0.0343,False
мужу посоветовали гнатолога вы такого врача держите или к кому идти,faq,faq,accept,general_confident,False,0.6418,0.4465,True
подскажите есть гнатолог,faq,faq,defer,low_confidence,False,0.5958,0.3595,False
работает гнатолог у вас,faq,faq,accept,general_confident,False,0.6847,0.486,True
нужны элайнеры,anamnesis,faq,defer,faq_anamnesis_borderline,False,0.3825,0.0811,False
эллайнеры ставите,anamnesis,faq,defer,low_confidence,False,0.5246,0.3322,False
дочке 10 лет зубы торчат хочу элайнеры вместо брекетов чтоб незаметно,anamnesis,anamnesis,accept,anamnesis_confident,False,0.5193,0.2537,True
на работе стесняюсь улыбаться зубы неровные элайнеры подойдут мне,anamnesis,anamnesis,accept,anamnesis_confident,False,0.6696,0.516,True
начиталась про элайнеры отзывы хорошие но боюсь боли хочу попробовать,anamnesis,anamnesis,defer,sparse_dense_disagree,False,0.4424,0.182,False
с фото в инсте все ровные зубы решил элайнеры сделать для себя,anamnesis,anamnesis,accept,anamnesis_confident,False,0.5114,0.2845,True
интересуют элайнеры,anamnesis,anamnesis,defer,low_confidence,False,0.4635,0.2247,False
вкладку надо срочно,anamnesis,booking,defer,low_confidence,False,0.4222,0.1998,False
хочу вкладку ставить,anamnesis,anamnesis,defer,sparse_dense_disagree,False,0.4786,0.2885,False
вкладка нужна чё,anamnesis,anamnesis,accept,anamnesis_confident,False,0.4844,0.2394,True
пломба большая треснула зуб крошится вчера орехом ударил теперь вкладку хочу,anamnesis,anamnesis,accept,anamnesis_confident,False,0.8377,0.7425,True
на жевательном зубе дырка огромная врач раньше говорил вкладку ставить а я тянул,anamnesis,anamnesis,accept,anamnesis_confident,False,0.6576,0.4957,True
давно пломба старая держится на соплях надо нормальную вкладку поставить чтоб не,anamnesis,anamnesis,accept,anamnesis_confident,False,0.7269,0.5944,True
кусок зуба откололся от конфеты твердой теперь боюсь жевать хочу вкладку аккурат,anamnesis,anamnesis,accept,anamnesis_confident,False,0.8215,0.7355,True
подскажите про вкладку на зуб,anamnesis,anamnesis,defer,sparse_dense_disagree,False,0.3805,0.0941,False
интересует поставить вкладку,anamnesis,anamnesis,accept,anamnesis_confident,False,0.7597,0.6493,True
делаете синус лифтинг,anamnesis,faq,defer,low_confidence,False,0.5684,0.3079,False
синус лифтинг чё,anamnesis,unsupported,defer,sparse_dense_disagree,False,0.4784,0.2036,False
нужен синуслифтинг,anamnesis,anamnesis,defer,low_confidence,False,0.3515,0.078,False
врач сказал синус лифтинг перед имплантом наверху надо расскажи как проходит,anamnesis,faq,defer,low_confidence,False,0.5471,0.2901,False
верхняя челюсть кости мало для импланта синус лифтинг поможет или нет,anamnesis,anamnesis,accept,anamnesis_confident,False,0.602,0.2819,True
читал в инете про синус лифтинг для зубов сверху планирую ставить импланты,anamnesis,anamnesis,accept,anamnesis_confident,False,0.5586,0.1704,True
друг делал синуслифтинг теперь жуёт нормально у вас такая процедура есть,anamnesis,faq,defer,faq_anamnesis_borderline,False,0.3761,0.0622,False
подскажите про синус лифтинг,anamnesis,faq,defer,low_confidence,False,0.4465,0.1958,False
синус-лифтинг интересует,anamnesis,anamnesis,accept,anamnesis_confident,False,0.6985,0.5463,True
хочу узнать синуслифтинг,anamnesis,anamnesis,accept,anamnesis_confident,False,0.5233,0.3563,True
скока элайнеры,faq,faq,accept,general_confident,False,0.7983,0.6823,True
элайнеры цена чё,faq,faq,accept,general_confident,False,0.7396,0.6022,True
почём элайнеры,faq,faq,defer,low_confidence,False,0.5476,0.3375,False
сыну 14 лет кривые зубы элайнеры лучше брекетов скока комплект стоит,faq,faq,accept,general_confident,False,0.8248,0.7161,True
вчера увидела рекламу элайнеров для взрослых но не знаю цену у вас какая примерн,faq,faq,accept,general_confident,False,0.647,0.4771,True
на работе заметили кривизну хочу элайнеры поставить посоветуйте цену за курс,faq,faq,defer,low_confidence,False,0.4847,0.252,False
