seed_id,text,route_domain,subtype,status,new_domain,new_subtype,faq_category,notes
seed_001,Болит зуб,anamnesis,symptom,keep,,,n/a,
seed_002,Десна кровоточит,anamnesis,symptom,keep,,,n/a,
seed_003,Ноет под коронкой,anamnesis,symptom,keep,,,n/a,
seed_004,Чувствительность на холодное,anamnesis,symptom,keep,,,n/a,
seed_005,Опухла щека,anamnesis,symptom,keep,,,n/a,
seed_006,Резкая боль в нижнем правом зубе,anamnesis,symptom,keep,,,n/a,
seed_007,"Дёсны опустились, видны корни",anamnesis,symptom,keep,,,n/a,
seed_008,Щёлкает челюсть при открывании рта,anamnesis,symptom,keep,,,n/a,
seed_009,Больно жевать на левой стороне,anamnesis,symptom,keep,,,n/a,
seed_010,"Зуб мудрости лезет, десна опухла",anamnesis,symptom,keep,,,n/a,
seed_011,Неприятный запах изо рта,anamnesis,symptom,keep,,,n/a,
seed_012,"Температура 37.8, десна болит",anamnesis,symptom,keep,,,n/a,
seed_013,Сильное кровотечение после удаления зуба,anamnesis,symptom,keep,,,n/a,
seed_014,"Ребёнку плохо, зуб шатается после падения",anamnesis,symptom,keep,,,n/a,
seed_015,Боль отдаёт в висок и ухо,anamnesis,symptom,keep,,,n/a,
seed_016,Горячая еда усиливает боль,anamnesis,symptom,keep,,,n/a,
seed_017,Пульсирующая боль по ночам,anamnesis,symptom,keep,,,n/a,
seed_018,Гной выходит из десны при надавливании,anamnesis,symptom,keep,,,n/a,
seed_019,Рот полностью не открывается,anamnesis,symptom,keep,,,n/a,
seed_020,Утром челюсть скованная,anamnesis,symptom,keep,,,n/a,
seed_021,Ночью скрежет зубами,anamnesis,symptom,keep,,,n/a,
seed_022,Зубы стираются,anamnesis,symptom,keep,,,n/a,
seed_023,Лимфоузел под челюстью увеличился,anamnesis,symptom,keep,,,n/a,
seed_024,"Припухлость на десне, как шарик",anamnesis,symptom,keep,,,n/a,
seed_025,Болит от сладкого,anamnesis,symptom,keep,,,n/a,
seed_026,Кровоточивость при чистке зубов,anamnesis,symptom,keep,,,n/a,
seed_027,Зуб потемнел,anamnesis,symptom,keep,,,n/a,
seed_028,Ребёнок жалуется на боль при еде,anamnesis,symptom,keep,,,n/a,
seed_029,Натирает щёку изнутри,anamnesis,symptom,keep,,,n/a,
seed_030,Дёсны отёкшие и красные,anamnesis,symptom,keep,,,n/a,
seed_031,Зуб стал розоватым после удара,anamnesis,symptom,keep,,,n/a,
seed_032,Чешутся дёсны,anamnesis,symptom,keep,,,n/a,
seed_033,Свищ на десне,anamnesis,symptom,keep,,,n/a,
