text,true_l2,pred_l2,true_l1,pred_l1,confidence,text_len,category
"Привет,п рощайте",farewell,greeting,conversational,conversational,0.943321120357474,2,Short text
"Спасибо, дос видания",gratitude,farewell,conversational,conversational,0.9300929109937129,3,Short text
Перенсеите на на следующей неделе,reschedule,new_appointment,booking,booking,0.8296260070654309,5,Cross-class (within L1)
Зубш атается,complaint,unclear,anamnesis,conversational,0.09944774327241228,2,Short text
Воспаление после удаления,negative_quality,visit_prep,feedback,faq,0.9347847715258372,3,Short text
Пломба быстро выпала,negative_quality,complaint,feedback,anamnesis,0.7454357281594127,3,Short text
Плоха яклиника,negative_general,unclear,feedback,conversational,0.09944774327241228,2,Short text
Нужно отмеинть,cancel,services,booking,anamnesis,0.8127644547364745,2,Short text
Приём начался  сопозданием,negative_service,positive_service,feedback,feedback,0.8837319121686246,3,Short text
Тороплии,negative_staff,unclear,feedback,conversational,0.09944774327241228,1,Short text
"Здравствуйте, псасибо!",gratitude,greeting,conversational,conversational,0.9399832290972177,2,Short text
Нужно сдавать анализы?,visit_prep,services,faq,anamnesis,0.8127644547364745,3,Short text
Какие обезболивающие можно?,visit_prep,followup,faq,faq,0.5612077624803377,3,Short text
ЕСТЬ АЛЬТЕРАНТИВЫ?,procedure,clinic_info,faq,faq,0.9062997284940799,2,Short text
Всег охорошего,farewell,unclear,conversational,conversational,0.09944774327241228,2,Short text
Перенесит ена четверг,reschedule,new_appointment,booking,booking,0.6545970575973414,3,Short text
снимок это боьлно?,procedure,negative_general,faq,feedback,0.573428755385448,3,Short text
Какойа дрес?,clinic_info,unclear,faq,conversational,0.09944774327241228,2,Short text
Очень грамотныйс пециалист,positive_staff,gratitude,feedback,conversational,0.9193164627897279,3,Short text
Добрйы день,greeting,reschedule,conversational,booking,0.5070328350482034,2,Short text
Какп роходит процедура?,procedure,visit_prep,faq,faq,0.4612955146214178,3,Short text
Отличная работа врача,positive_quality,positive_general,feedback,feedback,0.5192119795117585,3,Short text
Расскажитеб ольше,followup,unclear,faq,conversational,0.09944774327241228,2,Short text
Отментие запись,cancel,new_appointment,booking,booking,0.5069226464333186,2,Short text
"Скажите, у меня пульсирующа яболь день",symptom,complaint,anamnesis,anamnesis,0.5425802290319707,6,Cross-class (within L1)
СПАСИБО З АЗАБОТУ,positive_general,gratitude,feedback,conversational,0.9517434546777954,3,Short text
Можно записаться?,new_appointment,clinic_info,booking,faq,0.5218640499730048,2,Short text
Нужно сделать снимок,new_appointment,services,booking,anamnesis,0.9286233504652859,3,Short text
Коронка не подошла,negative_quality,positive_quality,feedback,feedback,0.7347122876651673,3,Short text
часыр аботы?,clinic_info,unclear,faq,conversational,0.09944774327241228,2,Short text
Сколько стоитл ечение каналов?,price,procedure,faq,faq,0.9073038839325382,4,Cross-class (within L1)
Зубп отемнел,complaint,unclear,anamnesis,conversational,0.09944774327241228,2,Short text
Расксажитеб ольше,followup,unclear,faq,conversational,0.09944774327241228,2,Short text
Нужон снимок 👍,services,price,anamnesis,faq,0.501341401810502,3,Short text
Какие обезболивающие можно заранее спасибо,visit_prep,followup,faq,faq,0.6337101173189449,5,Cross-class (within L1)
Тончо нужно,followup,services,faq,anamnesis,0.8127644547364745,2,Short text
Планируюч истку?!,services,unclear,anamnesis,conversational,0.09944774327241228,2,Short text
Мне н еперезвонили месяц,negative_service,negative_staff,feedback,feedback,0.5812600928162664,4,Cross-class (within L1)
ЕСТ ЬСЕДАЦИЯ?,clinic_info,unclear,faq,conversational,0.09944774327241228,2,Short text
Так и неп ерезвонили,negative_service,followup,feedback,faq,0.5066900966997104,4,Other
почёмл ечение кариеса?,price,services,faq,anamnesis,0.5103564530266287,3,Short text
А оябзательно?!,followup,unclear,faq,conversational,0.09944774327241228,2,Short text
"Спасибо, всё понраивлось",positive_general,gratitude,feedback,conversational,0.8839842356201956,3,Short text
Записать ребёнка на осмотр,new_appointment,price,booking,faq,0.47142080732963915,4,Low confidence
Интересуети мплантацию,services,unclear,anamnesis,conversational,0.09944774327241228,2,Short text
Здратвсвуйте,greeting,unclear,conversational,conversational,0.09944774327241228,1,Short text
Можно в арссрочку?,price,reschedule,faq,booking,0.6586501184236593,3,Short text
Можнон а понедельник?,new_appointment,reschedule,booking,booking,0.3575756501820031,3,Short text
Стоимостьк оронки?,price,unclear,faq,conversational,0.09944774327241228,2,Short text
лечение кариеса неп омогло,negative_quality,services,feedback,anamnesis,0.5929967378544188,4,Other
Надоп одумать спасибо,unclear,gratitude,conversational,conversational,0.9517434546777954,3,Short text
брекеты это больон?,procedure,negative_general,faq,feedback,0.557823298572943,3,Short text
Высокий уровень лечения,positive_quality,negative_quality,feedback,feedback,0.8198231270622536,3,Short text
здравствйуте!,greeting,complaint,conversational,anamnesis,0.1434047173714826,1,Short text
Блаогдраю,gratitude,unclear,conversational,conversational,0.09944774327241228,1,Short text
