id,text,label_l1,label_l2,scenario,source,complexity
1,"Спасибо, всёп онятно",conversational,gratitude,conversation_flow,augmented,complex
2,Добрый вечер пожалуйста,conversational,greeting,conversation_flow,augmented,simple
3,ПОСОВЕТУЮСЬ СПАСИБО,conversational,unclear,clarification_flow,augmented,simple
4,Запись к пародонтологу на утро,booking,new_appointment,booking_flow,variation,simple
5,У меня запах изо рта месяц,anamnesis,symptom,anamnesis_flow,variation,medium
6,"Изменились планы, нужно перенести пожалуйста",booking,reschedule,booking_flow,augmented,complex
7,после удаление у кузнецовой стало хуже спасибо,negative_feedback,quality,escalation_flow,augmented,medium
8,"Добрый день, приложение глючит",negative_feedback,service_issue,escalation_flow,augmented,complex
9,Работаете в на этой неделе?,faq,clinic_info,faq_flow,variation,simple
10,Запишите к имплантологу,booking,new_appointment,booking_flow,template,simple
11,"Скажите, болит коренной зуб уже неделю",anamnesis,symptom,anamnesis_flow,augmented,complex
12,До скорого спасибо!,conversational,farewell,conversation_flow,augmented,simple
13,"Спасбио, д освидания",conversational,gratitude,conversation_flow,augmented,complex
14,Недопустимо 👍,negative_feedback,general,escalation_flow,augmented,simple
15,Нужно реставарцию,anamnesis,services,anamnesis_flow,augmented,simple
16,"Подскажите, снимок сколько стоит?",faq,price,faq_flow,augmented,complex
17,Всего доброог?!,conversational,farewell,conversation_flow,augmented,simple
18,"Добрый день, мне не перезвонили две недели",negative_feedback,service_issue,escalation_flow,augmented,complex
19,"Да, конечно!!",conversational,confirmation,conversation_flow,augmented,complex
20,Ничего не объяснили заранее спасибо,negative_feedback,staff,escalation_flow,augmented,simple
21,Запись на снимок,booking,new_appointment,booking_flow,template,simple
22,Запись к детскому стоматологу на среду,booking,new_appointment,booking_flow,variation,medium
23,"Скажите, позже",conversational,unclear,clarification_flow,augmented,complex
24,Точно нужно 🙏,faq,followup,faq_flow,augmented,simple
25,Треснул зуб,anamnesis,complaint,anamnesis_flow,template,simple
26,Эт оправда необходимо?,faq,followup,faq_flow,augmented,simple
27,"Скажите, отнеслись наплевательски",negative_feedback,staff,escalation_flow,augmented,complex
28,Сколько длится профгигиену?,faq,procedure,faq_flow,variation,simple
29,"Здравствуйте, добрый день, пока!",conversational,farewell,conversation_flow,augmented,complex
30,Сколько нельзя есть после отбеливание 😊,faq,visit_prep,faq_flow,augmented,medium
31,"Да, хорошо 🙏.",conversational,confirmation,conversation_flow,augmented,complex
32,"Привет, ясно",conversational,confirmation,conversation_flow,augmented,complex
33,До которого часа приём 👍,faq,clinic_info,faq_flow,augmented,simple
34,Принимаете рассрочку 🦷,faq,clinic_info,faq_flow,augmented,simple
35,"Подскажите, добрый день заранее спасибо",conversational,greeting,conversation_flow,augmented,complex
36,Сколько длится коронку?,faq,procedure,faq_flow,variation,simple
37,"Здравствуйте, привет, мне не перезвонили",negative_feedback,service_issue,escalation_flow,augmented,complex
38,это возмуттиельно,negative_feedback,general,escalation_flow,augmented,simple
39,"Подскажите, принято",conversational,confirmation,conversation_flow,augmented,complex
40,У меня треснул зуб 🦷,anamnesis,complaint,anamnesis_flow,augmented,simple
41,"Подскажите, после отбеливание у Новикова стало хуже заранее спасибо",negative_feedback,quality,escalation_flow,augmented,complex
42,Ужасный сервис 😢,negative_feedback,general,escalation_flow,augmented,simple
43,"Подскажите, ждал давно",negative_feedback,service_issue,escalation_flow,augmented,complex
44,Часы работы пожалуйста,faq,clinic_info,faq_flow,augmented,simple
45,На десне появилась шишка,anamnesis,symptom,anamnesis_flow,template,simple
46,"Добрый день, приветствую пожалуйста",conversational,greeting,conversation_flow,augmented,complex
47,Невежливо ответили 😢!!,negative_feedback,staff,escalation_flow,augmented,simple
48,Сколько стоит удаление?,faq,price,faq_flow,variation,simple
49,Что посоветутее?,faq,followup,faq_flow,augmented,simple
50,Очень благодарен 🦷,conversational,gratitude,conversation_flow,augmented,simple
51,Зуб изменил цвет,anamnesis,complaint,anamnesis_flow,template,simple
52,"Добрый день, какие ещё варианты?",faq,followup,faq_flow,augmented,complex
53,Врач Иванова не объяснил пожалуйста,negative_feedback,staff,escalation_flow,augmented,simple
54,Что если не поможет 😊,faq,followup,faq_flow,augmented,simple
55,"Отмените запись, азболел",booking,cancel,booking_flow,augmented,complex
56,ждал месяц 👍,negative_feedback,service_issue,escalation_flow,augmented,simple
57,Есть время на понедельник?,booking,new_appointment,booking_flow,variation,simple
58,Сколько длится элайнеры...,faq,procedure,faq_flow,augmented,simple
59,"Скажите, прощайте!",conversational,farewell,conversation_flow,augmented,complex
60,Можно епренести на среду?,booking,reschedule,booking_flow,augmented,simple
61,Спаисбо,conversational,gratitude,conversation_flow,augmented,simple
62,Ок 🦷?,conversational,confirmation,conversation_flow,augmented,simple
63,Не рекомендую спасибо,negative_feedback,general,escalation_flow,augmented,simple
64,Что нужно перед приёмом,faq,visit_prep,faq_flow,augmented,simple
65,"Скажите, моежт быть",conversational,unclear,clarification_flow,augmented,complex
66,Сколько нельзя пить после элайнеры?,faq,visit_prep,faq_flow,variation,simple
67,"Привет, спасибо за информацию 😢",conversational,gratitude,conversation_flow,augmented,complex
68,верхняя десна очень болит!!,anamnesis,symptom,anamnesis_flow,augmented,simple
69,"Скажите, сколько длится пломбирование?",faq,procedure,faq_flow,augmented,complex
70,Я вам епрезвоню.,conversational,unclear,clarification_flow,augmented,simple
71,НЕ ПОЛУЧАЕТСЯ В ЭТО ВРЕМЯ 😊,booking,reschedule,booking_flow,augmented,medium
72,Окей спасибо пожалуйста,conversational,confirmation,conversation_flow,augmented,simple
73,Добрый день пожалуйста!,conversational,greeting,conversation_flow,augmented,simple
74,Долго жДал в очереди пожалуйста,negative_feedback,service_issue,escalation_flow,augmented,simple
75,Благодар ювас,conversational,gratitude,conversation_flow,augmented,simple
76,Это правда необходимо?,faq,followup,faq_flow,template,simple
77,Отнеслись наплевательски спасибо,negative_feedback,staff,escalation_flow,augmented,simple
78,Как проходит ресатврацию.,faq,procedure,faq_flow,augmented,simple
79,БлагДоарю,conversational,gratitude,conversation_flow,augmented,simple
80,Может быть 🙏,conversational,unclear,clarification_flow,augmented,simple
81,Можно перенести на утро...,booking,reschedule,booking_flow,augmented,simple
82,Возмонжо спасибо,conversational,unclear,clarification_flow,augmented,simple
83,ПОСЛЕ РЕСТАВРАЦИЮ У ПЕТРОВОЙ СТАЛО ХУЖЕ 😊,negative_feedback,quality,escalation_flow,augmented,medium
84,"Здравствуйте, вЕРХНЯЯ ДЕСНА ПОСТОЯННО БОЛИТ",anamnesis,symptom,anamnesis_flow,augmented,complex
85,Не рекомендую?,negative_feedback,general,escalation_flow,augmented,simple
86,Зуб птоемнел,anamnesis,complaint,anamnesis_flow,augmented,simple
87,Непрофессиональное отношение 🙏,negative_feedback,staff,escalation_flow,augmented,simple
88,Щёлкает челюсть,anamnesis,symptom,anamnesis_flow,template,simple
89,Перенесите запись 🦷,booking,reschedule,booking_flow,augmented,simple
90,Почём?,faq,price,faq_flow,template,simple
91,До свидания 👍 😢,conversational,farewell,conversation_flow,augmented,simple
92,Нужно пломбирование?,anamnesis,services,anamnesis_flow,augmented,simple
93,Нужна л ианестезия?,faq,procedure,faq_flow,augmented,simple
94,У меня треснул зуб?,anamnesis,complaint,anamnesis_flow,augmented,simple
95,"Здравствуйте, привет заранее спасибо",conversational,greeting,conversation_flow,augmented,complex
96,"Скажите, планирую исправить прикус",anamnesis,services,anamnesis_flow,augmented,complex
97,Добры йдень,conversational,greeting,conversation_flow,augmented,simple
98,Запись к пародонтологу на пятницу,booking,new_appointment,booking_flow,variation,simple
99,"Спасибо, до свидания спасибо!!",conversational,gratitude,conversation_flow,augmented,complex
100,Болит верхний зуб уже три дня,anamnesis,symptom,anamnesis_flow,variation,medium
101,Не могу дозвониться,negative_feedback,service_issue,escalation_flow,template,simple
102,Почём пломбирование 🙏,faq,price,faq_flow,augmented,simple
103,Сколько длится элайнеры 👍,faq,procedure,faq_flow,augmented,simple
104,"Привет, здравствуйте",conversational,greeting,conversation_flow,augmented,complex
105,Это безборазие,negative_feedback,general,escalation_flow,augmented,simple
106,Запись к хирургу на послезавтра пожалуйста,booking,new_appointment,booking_flow,augmented,medium
107,"ЗДРАВСТВУЙТЕ, ЗАПИСЬ К ЭНДОДОНТИСТУ НА ПОСЛЕЗАВТРА",booking,new_appointment,booking_flow,augmented,complex
108,"Не смогу прийти, занят на работе заранее спасибо",booking,cancel,booking_flow,augmented,complex
109,"Привет, отмените приём заранее спасибо",booking,cancel,booking_flow,augmented,complex
110,Недопустимо?!,negative_feedback,general,escalation_flow,augmented,simple
111,Приветствую заранее спасибо,conversational,greeting,conversation_flow,augmented,simple
112,"Добрый день, ждал день",negative_feedback,service_issue,escalation_flow,augmented,complex
113,Не понравилось 🦷,negative_feedback,general,escalation_flow,augmented,simple
