text_preview,gold,predicted,action,reason,is_rule_accept,is_complexity_defer,is_tag_policy_defer,confidence,margin,correct,primary_tag,active_tags
Хочу элайнеры,anamnesis,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
Нужно поставить вкладку,anamnesis,anamnesis,defer,sparse_dense_disagree,False,False,False,0.4389,0.1699,False,unclassified,
Интересует синус-лифтинг,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.6985,0.5463,True,unclassified,
Цена элайнеров?,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous;simple_faq
Демин ещё работает у вас?,faq,faq,accept,general_confident,False,False,False,0.6309,0.3894,True,unclassified,
Есть ли пародонтолог?,faq,faq,accept,general_confident,False,False,False,0.723,0.6159,True,unclassified,
Конновская принимает?,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
Какая специализация у Демина?,faq,faq,defer,low_confidence,False,False,False,0.6088,0.3084,False,unclassified,
Есть врач-гнатолог?,faq,faq,accept,general_confident,False,False,False,0.6405,0.4899,True,unclassified,
Хочу записаться к Конновской,booking,,defer,complexity:booking_doctor_name,False,True,False,0.0,0.0,False,booking_doctor_name,booking_doctor_name
гнатолог есть,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
гнатолог чё,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
ребёнку кривой прикус нужен гнатолог есть у вас кто с детьми работает,faq,faq,defer,low_confidence,False,False,False,0.6092,0.4268,False,unclassified,
на работе челюсть щёлкает читал нужен гнатолог такой доктор у вас имеется,faq,anamnesis,defer,sparse_dense_disagree,False,False,False,0.4352,0.0366,False,unclassified,
давно думаю про прикус гнатолог поможет у вас есть специалист такой,faq,unsupported,defer,sparse_dense_disagree,False,False,False,0.362,0.0343,False,unclassified,
мужу посоветовали гнатолога вы такого врача держите или к кому идти,faq,faq,accept,general_confident,False,False,False,0.6418,0.4465,True,unclassified,
подскажите есть гнатолог,faq,faq,defer,low_confidence,False,False,False,0.5958,0.3595,False,unclassified,
работает гнатолог у вас,faq,faq,accept,general_confident,False,False,False,0.6847,0.486,True,unclassified,
нужны элайнеры,anamnesis,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
эллайнеры ставите,anamnesis,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
дочке 10 лет зубы торчат хочу элайнеры вместо брекетов чтоб незаметно,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.5193,0.2537,True,unclassified,
на работе стесняюсь улыбаться зубы неровные элайнеры подойдут мне,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.6696,0.516,True,unclassified,
