id,text,label_intent,label_scenario,source
471,Что нельзя после виниры?,visit_recommendations,faq_flow,synthetic
539,привет,other,faq_flow,synthetic
195,Прайс на отбеливание?,price_question,faq_flow,synthetic
80,Появились язвочки во рту,complaint_primary,anamnesis_flow,synthetic
504,Нужно ли приходить повторно,visit_recommendations,faq_flow,synthetic
186,Почём временная коронка!,price_question,faq_flow,synthetic
169,Почём протезирование?,price_question,faq_flow,synthetic
25,хотела бы записаться к детскому стоматологу,booking,booking_flow,synthetic
69,Хочу к ортодонту на среду,booking,booking_flow,synthetic
106,Болит при надавливании,complaint_primary,anamnesis_flow,synthetic
120,коронка шатается.,complaint_primary,anamnesis_flow,synthetic
335,Какие риски у чистку?,followup_question,faq_flow,synthetic
389,Есть приём в завтра?,clinic_faq,faq_flow,synthetic
234,Нужно перенести на пораньше,reschedule_cancel,reschedule_flow,synthetic
44,Нужна запись на лечение каналов,booking,booking_flow,synthetic
423,Принимаете ДМС?,clinic_faq,faq_flow,synthetic
360,Какие риски у панорамный снимок?,followup_question,faq_flow,synthetic
52,Есть ли свободное время на вторник?,booking,booking_flow,synthetic
146,чувствую пульсирующую боль?,complaint_primary,anamnesis_flow,synthetic
552,Приду.,other,faq_flow,synthetic
14,Свободные окошки на реставрация?,booking,booking_flow,synthetic
337,А можно без чистку?,followup_question,faq_flow,synthetic
483,Сколько нельзя курить после пластинки?,visit_recommendations,faq_flow,synthetic
173,цена на элайнеры?,price_question,faq_flow,synthetic
301,Какие риски у ретейнеры?,followup_question,faq_flow,synthetic
62,Мне нужно к челюстно-лицевому хирургу,booking,booking_flow,synthetic
154,Прайс на консультацию?,price_question,faq_flow,synthetic
469,что делать если отёк?,visit_recommendations,faq_flow,synthetic
260,Перенесите запись на четверг,reschedule_cancel,reschedule_flow,synthetic
266,"Не смогу прийти, занят на работе",reschedule_cancel,reschedule_flow,synthetic
491,Когда контрольный визит?,visit_recommendations,faq_flow,synthetic
10,Запись к челюстно-лицевому хирургу на послезавтра,booking,booking_flow,synthetic
458,Что делать после КТ?,visit_recommendations,faq_flow,synthetic
174,Во сколько обойдётся чистка?,price_question,faq_flow,synthetic
213,Какая цена на детский приём?,price_question,faq_flow,synthetic
577,доброе утро.,other,faq_flow,synthetic
312,А анестезия входит в стоимость?,followup_question,faq_flow,synthetic
434,Есть ли микроскоп?,clinic_faq,faq_flow,synthetic
244,Перенос записи на протезирование,reschedule_cancel,reschedule_flow,synthetic
125,зубы стали подвижными,complaint_primary,anamnesis_flow,synthetic
46,Есть ли свободное время на вечер?,booking,booking_flow,synthetic
41,Когда можно попасть к имплантологу?,booking,booking_flow,synthetic
362,А можно без отбеливание?,followup_question,faq_flow,synthetic
431,Работает ли ортопед?,clinic_faq,faq_flow,synthetic
323,А можно без удаления?,followup_question,faq_flow,synthetic
473,можно ли пить алкоголь после лечения?,visit_recommendations,faq_flow,synthetic
141,Щёлкает при открывании рта,complaint_primary,anamnesis_flow,synthetic
525,Сколько нельзя пить после КТ?,visit_recommendations,faq_flow,synthetic
275,Перенесите на следующую неделю,reschedule_cancel,reschedule_flow,synthetic
414,Есть детский стоматолог?,clinic_faq,faq_flow,synthetic
558,Буду.,other,faq_flow,synthetic
477,Как подготовиться к КТ?,visit_recommendations,faq_flow,synthetic
86,Откололся кусочек зуба,complaint_primary,anamnesis_flow,synthetic
402,Есть ли приложение?,clinic_faq,faq_flow,synthetic
436,Можно ли оплатить картой?,clinic_faq,faq_flow,synthetic
487,Можно ли заниматься спортом после?,visit_recommendations,faq_flow,synthetic
65,Есть ли свободное время на на следующей неделе?,booking,booking_flow,synthetic
261,Можно перезаписаться на утро?,reschedule_cancel,reschedule_flow,synthetic
380,Рядом есть метро,clinic_faq,faq_flow,synthetic
253,"Не получится прийти, заболел ребёнок",reschedule_cancel,reschedule_flow,synthetic
400,Есть ортодонт?,clinic_faq,faq_flow,synthetic
561,спасибо большое?,other,faq_flow,synthetic
451,Что делать после элайнеры?,visit_recommendations,faq_flow,synthetic
445,Работаете ли в воскресенье.,clinic_faq,faq_flow,synthetic
16,Хочу прийти на примерку протеза,booking,booking_flow,synthetic
555,"Понял, хорошо",other,faq_flow,synthetic
136,Болит передний зуб уже давно,complaint_primary,anamnesis_flow,synthetic
583,Добрый вечер.,other,faq_flow,synthetic
20,"Мне нужно к хирургу, как записаться?",booking,booking_flow,synthetic
175,Цена на металлокерамику?,price_question,faq_flow,synthetic
134,откололся кусочек зуба!,complaint_primary,anamnesis_flow,synthetic
348,Сколько длится элайнеры?,followup_question,faq_flow,synthetic
256,Можно перезаписаться на вторник?,reschedule_cancel,reschedule_flow,synthetic
221,Сколько стоит удаление?,price_question,faq_flow,synthetic
64,Хочу прийти на протезирование,booking,booking_flow,synthetic
412,Есть ли имплантолог!,clinic_faq,faq_flow,synthetic
341,А можно без удаление?,followup_question,faq_flow,synthetic
500,Что делать после коронку?,visit_recommendations,faq_flow,synthetic
554,Алло,other,faq_flow,synthetic
307,Это точно поможет?,followup_question,faq_flow,synthetic
330,А снимок это больно?,followup_question,faq_flow,synthetic
205,лечение каналов у вас сколько стоит?,price_question,faq_flow,synthetic
553,Записал,other,faq_flow,synthetic
163,есть ли рассрочка на лечение?,price_question,faq_flow,synthetic
26,Нужна запись на Air-Flow,booking,booking_flow,synthetic
443,Работаете ли в вечер?,clinic_faq,faq_flow,synthetic
133,Болит при надавливании.,complaint_primary,anamnesis_flow,synthetic
60,Хочу к пародонтологу на завтра,booking,booking_flow,synthetic
155,Цена за пластинки?,price_question,faq_flow,synthetic
248,Перенесите запись на воскресенье,reschedule_cancel,reschedule_flow,synthetic
397,Работаете в праздники.,clinic_faq,faq_flow,synthetic
333,Какие риски у лечение кариеса?,followup_question,faq_flow,synthetic
280,Нужно перенести на воскресенье,reschedule_cancel,reschedule_flow,synthetic
302,А можно без консультацию?,followup_question,faq_flow,synthetic
484,Как подготовиться к лечение каналов?,visit_recommendations,faq_flow,synthetic
281,Отмените мою запись,reschedule_cancel,reschedule_flow,synthetic
49,Можно записаться на раннее утро?,booking,booking_flow,synthetic
271,"Отмените запись, заболел",reschedule_cancel,reschedule_flow,synthetic
109,Температура и болит зуб,complaint_primary,anamnesis_flow,synthetic
507,Нужна ли специальная паста,visit_recommendations,faq_flow,synthetic
306,А панорамный снимок это больно?,followup_question,faq_flow,synthetic
353,Это безопасно.,followup_question,faq_flow,synthetic
550,"хорошо, спасибо?",other,faq_flow,synthetic
