id,text,route_domain,subtype,explicit_booking,urgency,is_offtopic,specialization_hint,feedback_flag,faq_category,style,source,seed_id
hard_007,"Откололся зуб, больно жевать, запишите срочно",anamnesis,complaint,True,urgent,,,,,,manual_hard,
hard_013,"Опухла щека и температура, когда примете?",anamnesis,symptom,True,urgent,,,,,,manual_hard,
hard_037,Помогите,anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_046,"Сильное кровотечение, не останавливается",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_047,"Ребёнку очень плохо, температура 39",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_048,"Выбили зуб, кровь идёт",anamnesis,complaint,False,urgent,,,,,,manual_hard,
hard_049,"Сильный отёк, не могу глотать",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_050,"Острая боль, таблетки не помогают",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_051,"Ребёнок упал, зуб шатается, кровь",anamnesis,complaint,False,urgent,,,,,,manual_hard,
hard_052,Аллергическая реакция после анестезии,anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_053,"Гной из десны, температура, отёк",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_054,Челюсть не открывается совсем,anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_055,"Беременна, зуб болит невыносимо",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_056,Кровь не останавливается уже час,anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_057,"Отёк горла после удаления, задыхаюсь",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_058,"Малышу 2 года, упал, зуб выбит",anamnesis,complaint,False,urgent,,,,,,manual_hard,
hard_059,"Нагноение после имплантации, щека горит",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_060,Потерял сознание от боли,anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061a,"Зуб сломался пополам, нерв торчит",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061b,У ребёнка после падения зуб вдавился в десну,anamnesis,complaint,False,urgent,,,,,,manual_hard,
hard_061c,"Третий день температура 38, десна чёрная",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061d,"Швы после операции разошлись, кровит сильно",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061e,"Онемела половина лица после удаления, уже сутки",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061f,"Коронка слетела, проглотил, что делать?",anamnesis,complaint,False,urgent,,,,,,manual_hard,
hard_061g,После анестезии губа распухла и не чувствую,anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061h,"Сильная боль в челюсти, отдаёт в ухо и висок",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061i,"Абсцесс на десне, гной течёт, лихорадка",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061j,"Ударили в челюсть, зубы шатаются, рот не закрывается",anamnesis,complaint,False,urgent,,,,,,manual_hard,
hard_061k,"Брекет отклеился и впился в щёку, кровь идёт",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_061l,"Имплант выпал, из лунки идёт кровь",anamnesis,symptom,False,urgent,,,,,,manual_hard,
hard_099,"Привет, срочно болит, запишите сегодня",anamnesis,symptom,True,urgent,,,,,,manual_hard,
hard_122,"Жевательный зуб сильно болит, больно жевать, что делать?",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_125,"У меня второй день флюс на десне, болит очень сильно.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_130,зуб треснул вчера от ореха сильно болит,anamnesis,complaint,,urgent,,,,,,grok_audited,
hard_132,После удаления зуба десна болит очень сильно.,anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_136,после пломбы зуб ноет сильно и щека опухла,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_137,"Удалили зуб вчера, сегодня температура 38 и гной из десны.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_138,После чистки каналов лицо распухло и болит очень сильно.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_139,"После удаления зуба мудрости появился флюс, поднялась температура.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_140,"Пломбу поставили, ночью зуб разболелся и поднялась температура.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_141,"После лечения корня щека раздулась, температура 39.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_142,"Ребенку поставили пломбу, десна опухла, плачет от боли.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_143,после импланта боль усилилась и отек на пол-лица,anamnesis,complaint,,urgent,,,,,,grok_audited,
hard_144,После чистки зубов все болит и температура 38.2.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_145,После протезирования десна воспалилась горит внутри,anamnesis,complaint,,urgent,,,,,,grok_audited,
hard_146,установили коронку а щека припухла и ноет сильно,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_147,"Удаляли нерв вчера, сегодня флюс и температура 37.8.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_148,"После пломбирования болит без остановки, отек растет.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_149,После лечения дома щека вздулась и поднялась температура.,anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_150,после удаления опухоль на десне и 38.5 не сплю,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_162,"Флюс раздуло, сколько стоит прием у стоматолога?",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_166,Флюс растет.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_167,Десна сильно кровит.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_168,Нерв оголился.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_169,Из десны потек гной.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_170,рот не открыть,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_171,Зуб шатается.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_172,Опухоль на десне выросла.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_173,Зуб сломался.,anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_174,Зуб ноет жутко.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_175,сын 4 года упал с качелей зуб шатается сильно,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_176,дочке 6 лет стукнулась о стол щека опухла и десна кровит,anamnesis,complaint,,urgent,,,,,,grok_audited,
hard_177,"Малышу 2 года, налетел на угол, кровь идет изо рта.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_178,ребёнок 5 лет с самоката зуб треснул болит жевать,anamnesis,complaint,,urgent,,,,,,grok_audited,
hard_179,внуку 3 года упал во дворе передний зуб шатается,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_180,девочка 7 лет ударилась челюстью десна разорвана срочно,anamnesis,complaint,,urgent,,,,,,grok_audited,
hard_181,"Пацану 8 лет в драке сломали зуб, челюсть ноет.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_182,"Ребенок 4 года с горки выбил зуб, помогите.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_183,сынок 5 лет бегал налетел на дверь губа разбита зуб болит,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_184,"Мальчику 3 года ударили игрушкой по зубам, зуб шатается, плачет.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_185,"Дочке 6 лет, упала с велосипеда, в челюсти хруст.",anamnesis,complaint,,urgent,,,,,,grok_rewritten,
hard_186,ребят ребенок 9 лет на турнике зуб сломал десна в крови,anamnesis,complaint,,urgent,,,,,,grok_audited,
