id,text,route_domain,urgency,subtype,explicit_booking,is_offtopic,specialization_hint,feedback_flag,faq_category,style,source,seed_id,gold_is_complex,gold_complexity_class,annotator,annotation_date
hard_001,"У меня болит зуб, сколько стоит лечение?",anamnesis,normal,symptom,False,,,,,,manual_hard,,,,,
hard_002,"Десна кровоточит, можно записаться?",anamnesis,normal,symptom,True,,,,,,manual_hard,,,,,
hard_003,"Выпала пломба, когда можно прийти?",anamnesis,normal,complaint,True,,,,,,manual_hard,,,,,
hard_004,"Хочу брекеты, сколько это стоит и когда можно?",anamnesis,normal,treatment_interest,True,,,,,,manual_hard,,,,,
hard_005,"Болит зуб мудрости, есть ли у вас хирург?",anamnesis,normal,symptom,False,,,,,,manual_hard,,,,,
hard_006,"Нужна чистка, какие цены и когда свободно?",anamnesis,normal,treatment_interest,True,,,,,,manual_hard,,,,,
hard_008,"Хочу имплант, но десна болит. Это нормально?",anamnesis,normal,symptom,False,,,,,,manual_hard,,,,,
hard_012,"Хочу отбеливание и чистку, записаться можно?",anamnesis,normal,treatment_interest,True,,,,,,manual_hard,,,,,
hard_013,"Опухла щека и температура, когда примете?",anamnesis,urgent,symptom,True,,,,,,manual_hard,,,,,
hard_014,"Ребёнку нужно удалить зуб, сколько стоит?",anamnesis,normal,treatment_interest,False,,,,,,manual_hard,,,,,
hard_016,"Выпал штифт, больно, запишите к хирургу",anamnesis,normal,complaint,True,,,,,,manual_hard,,,,,
hard_017,"Треснул зуб, имплант нужен? сколько стоит?",anamnesis,normal,complaint,False,,,,,,manual_hard,,,,,
hard_019,"Нужна профчистка и осмотр, есть свободное время?",anamnesis,normal,treatment_interest,True,,,,,,manual_hard,,,,,
hard_021,"Пломба потемнела, хочу виниры и записаться",anamnesis,normal,complaint,True,,,,,,manual_hard,,,,,
hard_022,"Болит после лечения каналов, это нормально?",anamnesis,normal,symptom,False,,,,,,manual_hard,,,,,
hard_024,"Нужна коронка и чистка, запишите на одну дату",anamnesis,normal,treatment_interest,True,,,,,,manual_hard,,,,,
hard_029,"Хочу элайнеры, у меня скученность зубов",anamnesis,normal,treatment_interest,False,,,,,,manual_hard,,,,,
hard_031,Врач,unsupported,normal,unclear_short,False,,,,,,manual_hard,,,,,
hard_032,Лечение,unsupported,normal,unclear_short,False,,,,,,manual_hard,,,,,
hard_033,Записать,booking,normal,new_appointment,True,,,,,,manual_hard,,,,,
hard_034,Зуб,unsupported,normal,unclear_short,False,,,,,,manual_hard,,,,,
hard_035,Цена,faq,normal,price,False,,,,,,manual_hard,,,,,
hard_036,Больно,anamnesis,normal,symptom,False,,,,,,manual_hard,,,,,
hard_037,Помогите,anamnesis,urgent,symptom,False,,,,,,manual_hard,,,,,
hard_038,Срочно,booking,urgent,new_appointment,True,,,,,,manual_hard,,,,,
hard_039,Чистка,anamnesis,normal,treatment_interest,False,,,,,,manual_hard,,,,,
hard_040,Отмена,booking,normal,cancel,False,,,,,,manual_hard,,,,,
hard_041,Перенос,booking,normal,reschedule,True,,,,,,manual_hard,,,,,
hard_042,Вопрос,unsupported,normal,unclear_short,False,,,,,,manual_hard,,,,,
hard_043,Импланты,anamnesis,normal,treatment_interest,False,,,,,,manual_hard,,,,,
hard_044,Адрес,faq,normal,clinic_info,False,,,,,,manual_hard,,,,,
hard_045,Снимок,anamnesis,normal,treatment_interest,False,,,,,,manual_hard,,,,,
hard_046,"Сильное кровотечение, не останавливается",anamnesis,urgent,symptom,False,,,,,,manual_hard,,,,,
hard_049,"Сильный отёк, не могу глотать",anamnesis,urgent,symptom,False,,,,,,manual_hard,,,,,
hard_050,"Острая боль, таблетки не помогают",anamnesis,urgent,symptom,False,,,,,,manual_hard,,,,,
hard_061,"Классная клиника, хочу записаться ещё раз",booking,normal,new_appointment,True,,,True,,,manual_hard,,,,,
hard_061e,"Онемела половина лица после удаления, уже сутки",anamnesis,urgent,symptom,False,,,,,,manual_hard,,,,,
hard_061g,После анестезии губа распухла и не чувствую,anamnesis,urgent,symptom,False,,,,,,manual_hard,,,,,
hard_064,Довольна результатом,unsupported,normal,feedback,False,,,True,,,manual_hard,,,,,
hard_065,"Плохо обслужили, хочу жаловаться",unsupported,normal,feedback,False,,,True,,,manual_hard,,,,,
hard_066,Запишите к ортодонту на четверг,booking,normal,new_appointment,True,,ортодонт,,,,manual_hard,,,,,
hard_067,Нужна запись к хирургу-имплантологу,booking,normal,new_appointment,True,,хирург,,,,manual_hard,,,,,
hard_069,Записать ребёнка к детскому стоматологу,booking,normal,new_appointment,True,,детский стоматолог,,,,manual_hard,,,,,
hard_070,На ортопедический приём запишите,booking,normal,new_appointment,True,,ортопед,,,,manual_hard,,,,,
hard_071,Нужна консультация терапевта-стоматолога,booking,normal,new_appointment,True,,терапевт,,,,manual_hard,,,,,
hard_074,Запись к анестезиологу,booking,normal,new_appointment,True,,анестезиолог,,,,manual_hard,,,,,
hard_075,Нужен приём у стоматолога-хирурга,booking,normal,new_appointment,True,,хирург,,,,manual_hard,,,,,
hard_076,Хочу к Батылину,faq,normal,doctor_info,False,,,,,,manual_hard,,,,,
hard_077,Запишите к Ермакову,faq,normal,doctor_info,True,,,,,,manual_hard,,,,,
hard_078,Хочу на приём к Демину,faq,normal,doctor_info,True,,,,,,manual_hard,,,,,
hard_079,Мне нужна Конновская,faq,normal,doctor_info,False,,,,,,manual_hard,,,,,
hard_081,К Петрову запишите на пятницу,faq,normal,doctor_info,True,,,,,,manual_hard,,,,,
hard_082,"Хочу к тому врачу, который делал мне коронку",faq,normal,doctor_info,False,,,,,,manual_hard,,,,,
hard_083,Запишите к детскому врачу Конновской,faq,normal,doctor_info,True,,,,,,manual_hard,,,,,
hard_084,Ермаков свободен завтра?,faq,normal,doctor_info,True,,,,,,manual_hard,,,,,
hard_085,Есть Сидорова? Запишите к ней,faq,normal,doctor_info,True,,,,,,manual_hard,,,,,
hard_088,"Добрый день, сколько стоит чистка?",faq,normal,price,False,,,,,,manual_hard,,,,,
hard_089,Привет! Где вы находитесь?,faq,normal,clinic_info,False,,,,,,manual_hard,,,,,
hard_091,"Доброе утро, запишите к ортодонту",booking,normal,new_appointment,True,,ортодонт,,,,manual_hard,,,,,
hard_094,"Добрый вечер, отмените мою запись",booking,normal,cancel,False,,,,,,manual_hard,,,,,
hard_095,"Здрасте, сколько стоит имплант?",faq,normal,price,False,,,,,,manual_hard,,,,,
hard_097,"Здравствуйте, перенесите запись",booking,normal,reschedule,True,,,,,,manual_hard,,,,,
hard_100,"Алло, есть рассрочка?",faq,normal,price,False,,,,,,manual_hard,,,,,
hard_101,Что делать если болит после удаления?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_102,Какие обезболивающие можно после имплантации?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_103,Нормально ли что болит после пломбы?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_104,Через сколько проходит боль после удаления?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_105,Может ли десна кровоточить от чистки?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_108,Как понять что нужна коронка а не пломба?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_110,Вредно ли отбеливание для эмали?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_112,Со скольки лет можно ставить брекеты?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_113,Можно ли курить после удаления зуба?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_114,Нужна ли анестезия при чистке?,faq,normal,procedure_info,False,,,,,,manual_hard,,,,,
hard_120,нерв зуба ноет ночью это от кариеса?,anamnesis,normal,symptom,,,,,,,grok_audited,,,,,
hard_124,"Десна кровит, когда ем яблоко, это нормально?",anamnesis,normal,symptom,,,,,,,grok_rewritten,,,,,
hard_125,"У меня второй день флюс на десне, болит очень сильно.",anamnesis,urgent,complaint,,,,,,,grok_rewritten,,,,,
hard_142,"Ребенку поставили пломбу, десна опухла, плачет от боли.",anamnesis,urgent,symptom,,,,,,,grok_rewritten,,,,,
hard_147,"Удаляли нерв вчера, сегодня флюс и температура 37.8.",anamnesis,urgent,complaint,,,,,,,grok_rewritten,,,,,
hard_149,После лечения дома щека вздулась и поднялась температура.,anamnesis,urgent,complaint,,,,,,,grok_rewritten,,,,,
hard_151,"Зуб сильно ноет, сколько стоит пломба?",anamnesis,normal,symptom,,,,,,,grok_rewritten,,,,,
hard_152,"Щека опухла, когда можно записаться?",anamnesis,normal,complaint,,,,,,,grok_audited,,,,,
hard_154,"Нерв оголился и болит, можно записаться на завтра?",anamnesis,normal,symptom,,,,,,,grok_rewritten,,,,,
